Verslóritgerðir	nvfn-s	Verslóritgerðir
lund	nveþ	lund
og	c	og
gefur	sfg3en	gefa
af	aþ	af
sér	fpkeþ	sig
þá	aa	þá
fær	sfg3en	fá
maður	nken	maður
það	fpheo	það
svo	aa	svo
margfalt	aa	margfalt
tilbaka	aa	tilbaka
.	.	.

Eitt	tfhen	einn
lítið	lhensf	lítill
bros	nhen	bros
og	c	og
þolinmæði	nven	þolinmæði
geta	sfg3fn	geta
skipt	ssg	skipta
sköpum	nhfþ	skap
í	aþ	í
samskiptum	nhfþ	samskipti
okkar	fp1fe	ég
við	ao	við
annað	foheo	annar
fólk	nheo	fólk
og	c	og
lífsglatt	lhensf	lífsglaður
fólk	nhen	fólk
dregur	sfg3en	draga
það	faheo	sá
besta	lheove	góður
fram	aa	fram
í	aþ	í
öðrum	fokfþ	annar
.	.	.

Það	fphen	það
vill	sfg3en	vilja
enginn	foken	enginn
umgangast	snm	umgangast
mannesku	x	manneskja
sem	ct	sem
er	sfg3en	vera
alltaf	aa	alltaf
neikvæð	lvensf	neikvæður
og	c	og
fúl	lvensf	fúll
því	fpheþ	það
hún	fpven	hún
dregur	sfg3en	draga
fólk	nheo	fólk
einfaldlega	aa	einfaldlega
niður	aa	niður
með	aþ	með
sér	fpveþ	sig
.	.	.

Maður	nken	maður
skapar	sfg3en	skapa
sjálfur	fbken	sjálfur
aðstæður	nvfo	aðstæður
sínar	fevfo	sinn
í	aþ	í
lífinu	nheþg	líf
að	aþ	að
mörgu	lheþsf	margur
leyti	nheþ	leyti
.	.	.

Það	fphen	það
stoðar	sfg3en	stoða
lítið	aa	lítið
að	cn	að
verða	sng	verða
svartsýnn	lkensf	svartsýnn
og	c	og
gefast	snm	gefa
upp	aa	upp
þegar	c	þegar
maður	nken	maður
gengur	sfg3en	ganga
í	aa	í
gegnum	ao	gegnum
erfiðleika	nkfo	erfiðleiki
.	.	.

Erfiðleikarnir	nkfng	erfiðleiki
þroska	sfg3fn	þroska
mann	nkeo	maður
og	c	og
oftar	aam	oft
en	c	en
ekki	aa	ekki
metum	sfg1fn	meta
við	fp1fn	ég
hlutina	nkfog	hlutur
meira	aam	meira
eftir	ao	eftir
að	cn	að
hafa	sng	hafa
gengið	ssg	ganga
í	aa	í
gegnum	ao	gegnum
mótlæti	nheo	mótlæti
.	.	.

Lífið	nheng	líf
heldur	sfg3en	halda
áfram	aa	áfram
og	c	og
okkur	fp1fþ	ég
bjóðast	sfm3fn	bjóða
alltaf	aa	alltaf
nýir	lkfnsf	nýr
möguleikar	nkfn	möguleiki
.	.	.

Það	fphen	það
er	sfg3en	vera
mun	nkeþ	munur
oftar	aam	oft
þannig	aa	þannig
að	c	að
við	fp1fn	ég
nýtum	sfg1fn	nýta
ekki	aa	ekki
möguleikana	nkfog	möguleiki
sem	ct	sem
við	fp1fn	ég
höfum	sfg1fn	hafa
frekar	aam	frekar
en	c	en
að	aþ	að
okkur	fp1fþ	ég
bjóðist	svm3fn	bjóða
þeir	fpkfn	hann
ekki	aa	ekki
.	.	.

Þegar	c	þegar
maður	nken	maður
er	sfg3en	vera
lífsglaður	lkensf	lífsglaður
og	c	og
ánægður	lkensf	ánægður
yfir	aþ	yfir
lífinu	nheþg	líf
þá	aa	þá
er	sfg3en	vera
auðveldara	lhenvm	auðveldur
að	cn	að
vera	sng	vera
sáttur	lkensf	sáttur
við	ao	við
sjálfan	fbkeo	sjálfur
sig	fpkeo	sig
.	.	.

Í	ao	í
stað	nkeo	staður
þess	fphee	það
að	cn	að
bæla	sng	bæla
alla	fokfo	allur
hæfileikana	nkfog	hæfileiki
niður	aa	niður
sem	c	sem
maður	nken	maður
býr	sfg3en	búa
yfir	aa	yfir
þá	aa	þá
lætur	sfg3en	láta
maður	nken	maður
á	ao	á
þá	fpkfo	hann
reyna	sng	reyna
og	c	og
tekur	sfg3en	taka
áhættu	nveo	áhætta
í	aþ	í
því	faheþ	sá
sem	ct	sem
maður	nken	maður
gerir	sfg3en	gera
.	.	.

Stundum	aa	stundum
virkar	sfg3en	virka
það	fphen	það
og	c	og
stundum	aa	stundum
ekki	aa	ekki
en	c	en
ef	c	ef
maður	nken	maður
lætur	sfg3en	láta
ekki	aa	ekki
á	ao	á
þá	fpkfo	hann
reyna	sng	reyna
þá	aa	þá
kemst	sfm3en	koma
maður	nken	maður
aldrei	aa	aldrei
að	aþ	að
því	fpheþ	það
hvers	fshee	hver
megnugur	lkensf	megnugur
maður	nken	maður
er	sfg3en	vera
.	.	.

Fólk	nhen	fólk
á	sfg3en	eiga
að	cn	að
líta	sng	líta
jákvæðum	lhfþsf	jákvæður
augum	nhfþ	auga
á	ao	á
lífið	nheog	líf
og	c	og
virða	sng	virða
það	fpheo	það
.	.	.

Lífið	nheng	líf
er	sfg3en	vera
fullt	lhensf	fullur
af	aþ	af
tækifærum	nhfþ	tækifæri
og	c	og
það	fphen	það
er	sfg3en	vera
miklu	lheþsf	mikill
auðveldara	lhenvm	auðveldur
að	cn	að
sjá	sng	sjá
og	c	og
nýta	sng	nýta
þau	fphfo	það
ef	c	ef
maður	nken	maður
er	sfg3en	vera
ánægður	lkensf	ánægður
og	c	og
lífsglaður	lkensf	lífsglaður
.	.	.

Ég	fp1en	ég
tel	sfg1en	telja
að	c	að
allir	fokfn	allur
geta	sfg3fn	geta
verið	ssg	vera
lífsglaðir	lkfnsf	lífsglaður
þó	aa	þó
svo	aa	svo
aðstæður	nvfn	aðstæður
sumra	fokfe	sumur
virðast	sfm3fn	virða
ekki	aa	ekki
benda	sng	benda
til	ae	til
þess	fphee	það
.	.	.

Það	fphen	það
er	sfg3en	vera
í	aþ	í
raun	nveþ	raun
mjög	aa	mjög
huglægt	lhensf	huglægur
mat	nhen	mat
hvort	c	hvort
maður	nken	maður
sé	svg3en	vera
hamingjusamur	lkensf	hamingjusamur
eða	c	eða
ekki	aa	ekki
,	,	,
maður	nken	maður
ákveður	sfg3en	ákveða
það	fpheo	það
að	aþ	að
miklu	lheþsf	mikill
leyti	nheþ	leyti
sjálfur	fbken	sjálfur
.	.	.

Þegar	c	þegar
maður	nken	maður
áttar	sfg3en	átta
sig	fpkeo	sig
á	aþ	á
því	fpheþ	það
hvað	fshen	hver
það	fphen	það
er	sfg3en	vera
sem	ct	sem
gerir	sfg3en	gera
mann	nkeo	maður
hamingjusaman	lkeosf	hamingjusamur
þá	aa	þá
er	sfg3en	vera
líka	aa	líka
auðveldara	lhenvm	auðveldur
að	cn	að
nýta	sng	nýta
möguleikana	nkfog	möguleiki
sem	ct	sem
manni	nkeþ	maður
bjóðast	sfm3fn	bjóða
.	.	.

Staðreyndin	nveng	staðreynd
er	sfg3en	vera
sú	faven	sá
að	c	að
lífsglatt	lhensf	lífsglaður
fólk	nhen	fólk
er	sfg3en	vera
yfirleitt	aa	yfirleitt
hamingjusamt	lhensf	hamingjusamur
og	c	og
nýtir	sfg3en	nýta
þá	fakfo	sá
möguleika	nkfo	möguleiki
sem	ct	sem
það	fphen	það
fær	sfg3en	fá
en	c	en
það	fphen	það
skapar	sfg3en	skapa
sér	fpheþ	sig
líka	aa	líka
möguleikana	nkfog	möguleiki
að	aþ	að
mörgu	lheþsf	margur
leyti	nheþ	leyti
.	.	.

Af	aþ	af
öllum	fohfþ	allur
tækifærunum	nhfþg	tækifæri
sem	ct	sem
okkur	fp1fþ	ég
bjóðast	sfm3fn	bjóða
er	sfg3en	vera
lífið	nheng	líf
sjálft	fbhen	sjálfur
er	sfg3en	vera
það	fahen	sá
stærsta	lhenve	stór
sem	ct	sem
við	fp1fn	ég
fáum	sfg1fn	fá
og	c	og
við	fp1fn	ég
eigum	sfg1fn	eiga
að	cn	að
njóta	sng	njóta
þess	fphee	það
.	.	.

Eins	aa	eins
og	c	og
sagt	sþghen	segja
er	sfg3en	vera
þá	aa	þá
er	sfg3en	vera
lífið	nheng	líf
leikur	nken	leikur
og	c	og
við	fp1fn	ég
eigum	sfg1fn	eiga
að	cn	að
nýta	sng	nýta
það	fpheo	það
til	ae	til
fulls	lheesf	fullur
og	c	og
enginn	foken	enginn
gerir	sfg3en	gera
það	fpheo	það
betur	aam	vel
en	c	en
lífsglaður	lkensf	lífsglaður
maður	nken	maður
.	.	.

Verslóritgerðir	nvfn-s	Verslóritgerðir
2004	ta	2004
,	,	,
strákar	nkfn	strákur

Tónlist	nven	tónlist
-	-	-
förunautur	nken	förunautur
í	aþ	í
dagsins	nkeeg	dagur
önn	nveþ	önn

Góð	lvensf	góður
tónlist	nven	tónlist
er	sfg3en	vera
eyrnakonfekt	nhen	eyrnakonfekt
en	c	en
einnig	aa	einnig
er	sfg3en	vera
til	aa	til
tónlist	nven	tónlist
sem	ct	sem
sumir	fokfn	sumur
myndu	svg3fþ	munu
kalla	sng	kalla
hljóðmengun	nveo	hljóðmengun
.	.	.

Að	cn	að
hlusta	sng	hlusta
á	ao	á
tónlist	nveo	tónlist
er	sfg3en	vera
góð	lvensf	góður
skemmtun	nven	skemmtun
,	,	,
flestir	lkfnse	margur
hlusta	sfg3fn	hlusta
á	ao	á
tónlist	nveo	tónlist
og	c	og
eru	sfg3fn	vera
ekki	aa	ekki
margir	lkfnsf	margur
sem	ct	sem
fyrirlíta	sfg3fn	fyrirlíta
þá	faveo	sá
list	nveo	list
,	,	,
mætti	svg3eþ	mega
jafnvel	aa	jafnvel
segja	sng	segja
að	c	að
tónlist	nven	tónlist
sé	svg3en	vera
ómissandi	lkenof	ómissandi
hlutur	nken	hlutur
í	aþ	í
daglegu	lheþsf	daglegur
lífi	nheþ	líf
.	.	.

Eins	aa	eins
lengi	aa	lengi
og	c	og
elstu	lkfnve	gamall
menn	nkfn	maður
muna	sfg3fn	muna
og	c	og
langt	aa	langt
fyrir	ao	fyrir
þeirra	fpkfe	hann
tíma	nkeo	tími
hefur	sfg3en	hafa
tónlist	nven	tónlist
spilað	ssg	spila
stórt	lheosf	stór
hlutverk	nheo	hlutverk
í	aþ	í
samfélaginu	nheþg	samfélag
.	.	.

Tónsmiðir	nkfn	tónsmiður
á	ao	á
borð	nheo	borð
við	ao	við
Chopin	e	Chopin
og	c	og
Mozart	e	Mozart
lifðu	sfg3fþ	lifa
fyrir	ao	fyrir
tónlistina	nveog	tónlist
og	c	og
enn	aa	enn
í	ao	í
dag	nkeo	dagur
eru	sfg3fn	vera
verk	nhfn	verk
þeirra	fpkfe	hann
flutt	sþghfn	flytja
af	aþ	af
sinfóníuhljómsveitum	nvfþ	sinfóníuhljómsveit
um	ao	um
allan	fokeo	allur
heim	nkeo	heimur
.	.	.

Ekki	aa	ekki
verður	sfg3en	verða
hjá	aþ	hjá
því	fpheþ	það
komist	sþmhen	koma
að	cn	að
segja	sng	segja
að	c	að
tónlist	nven	tónlist
fylgi	svg3en	fylgja
flestum	lkfþse	margur
á	aþ	á
hverjum	fokeþ	hver
degi	nkeþ	dagur
þar	aa	þar
sem	c	sem
tónlist	nven	tónlist
hljómar	sfg3en	hljóma
út	aa	út
um	ao	um
allt	foheo	allur
,	,	,
alls	fokee	allur
staðar	nkee	staður
,	,	,
út	aa	út
um	ao	um
allan	fokeo	allur
heim	nkeo	heimur
.	.	.

Ég	fp1en	ég
ætla	sfg1en	ætla
aðeins	aa	aðeins
að	cn	að
fjalla	sng	fjalla
um	ao	um
tónlist	nveo	tónlist
,	,	,
hvernig	aa	hvernig
hún	fpven	hún
hefur	sfg3en	hafa
fylgt	ssg	fylgja
okkur	fp1fþ	ég
um	ao	um
árin	nhfog	ár
,	,	,
tónlistarstefnur	nvfo	tónlistarstefna
og	c	og
nokkra	fokfo	nokkur
tónlistamenn	nkfo	tónlistarmaður
.	.	.

Tónlist	nven	tónlist
í	aþ	í
aldanna	nvfeg	öld
rás	nveþ	rás

Tónlist	nven	tónlist
hefur	sfg3en	hafa
þróast	ssm	þróa
í	aa	í
gegnum	ao	gegnum
árin	nhfog	ár
,	,	,
líkt	aa	líkt
og	c	og
smekkur	nken	smekkur
fólks	nhee	fólk
á	aþ	á
flest	aae	margur
öllum	fokfþ	allur
hlutum	nkfþ	hlutur
,	,	,
fyrr	aam	fyrr
á	aþ	á
öldum	nvfþ	öld
voru	sfg3fþ	vera
töfrar	nkfn	töfrar
tónlistarinnar	nveeg	tónlist
skapaðir	sþgkfn	skapa
af	aþ	af
mönnum	nkfþ	maður
eins	aa	eins
og	c	og
Mozart	e	Mozart
,	,	,
Beethoven	e	Beethoven
,	,	,
Chopin	e	Chopin
og	c	og
Bach	e	Bach
þessir	fakfn	þessi
menn	nkfn	maður
ásamt	aþ	ásamt
mörgum	lkfþsf	margur
fleirum	lkfþsm	margur
sköpuðu	sfg3fþ	skapa
það	faheo	sá
sem	ct	sem
nú	aa	nú
kallast	sfm3en	kalla
klassísk	lvensf	klassískur
tónlist	nven	tónlist
.	.	.

Í	ao	í
þá	fakfo	sá
daga	nkfo	dagur
var	sfg3eþ	vera
tónlist	nven	tónlist
mörgum	lkfþsf	margur
hjartans	nheeg	hjarta
mál	nhen	mál
og	c	og
biðu	sfg3fþ	bíða
menn	nkfn	maður
með	aþ	með
óþreyju	nveþ	óþreyja
eftir	aþ	eftir
að	c	að
tónskáldin	nhfng	tónskáld
kláruðu	svg3fþ	klára
meistaraverk	nhfo	meistaraverk
sín	fehfo	sinn
,	,	,
þetta	fahen	þessi
voru	sfg3fþ	vera
líka	aa	líka
sannkölluð	lhfnsf	sannkallaður
meistaraverk	nhfn	meistaraverk
,	,	,
heilu	lvfnvf	heill
sinfóníurnar	nvfng	sinfónía
voru	sfg3fþ	vera
samdar	sþgvfn	semja
og	c	og
menn	nkfn	maður
gáfu	sfg3fþ	gefa
sig	fpkfo	sig
alla	fokfo	allur
í	ao	í
verkið	nheog	verk
.	.	.

Að	cn	að
hlusta	sng	hlusta
á	ao	á
gamlar	lvfosf	gamall
sinfóníur	nvfo	sinfónía
er	sfg3en	vera
eins	aa	eins
og	c	og
að	cn	að
horfa	sng	horfa
á	ao	á
leikrit	nheo	leikrit
,	,	,
mismunandi	lvfnof	mismunandi
tilfinningar	nvfn	tilfinning
takast	sfm3fn	taka
á	aa	á
og	c	og
sá	faken	sá
sem	ct	sem
hlustar	sfg3en	hlusta
af	aþ	af
innlifun	nveþ	innlifun
vekur	sfg3en	vekja
með	aþ	með
sér	fpkeþ	sig
þessar	favfo	þessi
tilfinningar	nvfo	tilfinning
og	c	og
skynjar	sfg3en	skynja
þær	favfo	sá
sem	ct	sem
sínar	fevfo	sinn
eigin	lvfoof	eigin
,	,	,
að	cn	að
semja	sng	semja
slík	fbhfo	slíkur
verk	nhfo	verk
er	sfg3en	vera
ekki	aa	ekki
á	aþ	á
hvers	fokee	hver
manns	nkee	maður
færi	nheþ	færi
.	.	.

Enn	aa	enn
þann	fakeo	sá
dag	nkeo	dagur
í	ao	í
dag	nkeo	dagur
eru	sfg3fn	vera
tónverk	nhfn	tónverk
gömlu	lhfevf	gamall
skáldanna	nhfeg	skáld
leikin	sþghfn	leika
af	aþ	af
sinfóníuhljómsveitum	nvfþ	sinfóníuhljómsveit
um	ao	um
allan	fokeo	allur
heim	nkeo	heimur
.	.	.

Í	aa	í
gegnum	ao	gegnum
árin	nhfog	ár
þróaðist	sfm3eþ	þróa
tónlistin	nveng	tónlist
og	c	og
nýjar	lvfnsf	nýr
stefnur	nvfn	stefna
tóku	sfg3fþ	taka
að	cn	að
myndast	snm	mynda
samhliða	aþ	samhliða
því	fpheþ	það
að	c	að
menn	nkfn	maður
fóru	sfg3fþ	fara
að	cn	að
finna	sng	finna
upp	aa	upp
ný	lhfosf	nýr
hljóðfæri	nhfo	hljóðfæri
og	c	og
nýjar	lvfosf	nýr
leiðir	nvfo	leið
til	ae	til
að	cn	að
spila	sng	spila
á	ao	á
hin	ghfo	hinn
gömlu	lhfovf	gamall
.	.	.

Mest	lvense	mikill
hefur	sfg3en	hafa
þróun	nven	þróun
tónlistar	nvee	tónlist
verið	ssg	vera
á	aþ	á
tuttugustu	lveþvf	tuttugasti
öld	nveþ	öld
og	c	og
hefur	sfg3en	hafa
hver	foken	hver
áratugurinn	nkeng	áratugur
á	ao	á
fætur	nkfo	fótur
öðrum	fokeþ	annar
haft	ssg	hafa
í	aþ	í
för	nveþ	för
með	aþ	með
sér	fpkeþ	sig
róttækar	lvfosf	róttækur
tónlistarstefnur	nvfo	tónlistarstefna
og	c	og
umdeilda	lkfosf	umdeildur
tónlistarmenn	nkfo	tónlistarmaður
.	.	.

Snemma	aa	snemma
á	aþ	á
öldinni	nveþg	öld
var	sfg3eþ	vera
fólk	nhen	fólk
að	cn	að
dansa	sng	dansa
Charleston	e	Charleston
í	aþ	í
villtri	lveþsf	villtur
sveiflu	nveþ	sveifla
og	c	og
«	«	«
Swing	e	Swing
»	»	»
tónlistin	nveng	tónlist
var	sfg3eþ	vera
allsráðandi	lvenof	allsráðandi
hjá	aþ	hjá
ungu	lheþsf	ungur
fólki	nheþ	fólk
.	.	.

«	«	«
Swing	e	Swing
»	»	»
tónlist	nven	tónlist
er	sfg3en	vera
spiluð	sþgven	spila
af	aþ	af
svokölluðum	lvfþsf	svokallaður
«	«	«
Big	e	Big
Band	e	Band
»	»	»
hljómsveitum	nvfþ	hljómsveit
þar	aa	þar
sem	c	sem
lúðrar	nkfn	lúður
og	c	og
trommur	nvfn	tromma
eru	sfg3fn	vera
í	aþ	í
stórum	lkeþsf	stór
meirihluta	nkeþ	meirihluti
.	.	.

Þegar	c	þegar
fram	aa	fram
liðu	sfg3fþ	líða
stundir	nvfn	stund
komu	sfg3fþ	koma
fleiri	lvfnvm	margur
og	c	og
fleiri	lvfnvm	margur
stefnur	nvfn	stefna
,	,	,
mikið	lhensf	mikill
af	aþ	af
þessu	faheþ	þessi
þróaðist	sfm3eþ	þróa
hjá	aþ	hjá
blökkumönnum	nkfþ	blökkumaður
í	aþ	í
Bretlandi	nheþ-s	Bretland
og	c	og
Bandaríkjunum	nhfþgs	Bandaríki
,	,	,
þar	aa	þar
má	sfg3en	mega
helst	aae	heldur
nefna	sng	nefna
Djass	nkeo	djass
,	,	,
Blús	nkeo	blús
og	c	og
síðar	aam	síðar
Rokk	nheo	rokk
,	,	,
þetta	fahen	þessi
er	sfg3en	vera
ekki	aa	ekki
tæmandi	lhenof	tæmandi
þar	aa	þar
sem	c	sem
ótal	nhen	ótal
útgáfur	nvfn	útgáfa
voru	sfg3fþ	vera
og	c	og
eru	sfg3fn	vera
til	aa	til
,	,	,
t.d.	as	t.d.
Skiffle	e	Skiffle
.	.	.

Tónlistarmenn	nkfn	tónlistarmaður
eins	aa	eins
og	c	og
Fats	e	Fats
Domino	e	Domino
voru	sfg3fþ	vera
í	aþ	í
miklu	lheþsf	mikill
uppáhaldi	nheþ	uppáhald
hjá	aþ	hjá
ungu	lheþsf	ungur
fólki	nheþ	fólk
og	c	og
höfðu	sfg3fþ	hafa
mikil	lhfosf	mikill
áhrif	nhfo	áhrif
á	ao	á
verðandi	lkfoof	verðandi
tónlistarmenn	nkfo	tónlistarmaður
.	.	.

Tónlist	nven	tónlist
hefur	sfg3en	hafa
stundum	aa	stundum
leitt	ssg	leiða
af	aþ	af
sér	fpveþ	sig
nokkurs	fokee	nokkur
konar	nkee	konar
brjálæði	nheo	brjálæði
þar	aa	þar
sem	c	sem
fólk	nhen	fólk
gjörsamlega	aa	gjörsamlega
missir	sfg3en	missa
alla	foveo	allur
stjórn	nveo	stjórn
á	aþ	á
sér	fpheþ	sig
,	,	,
þetta	fahen	þessi
á	sfg3en	eiga
nú	aa	nú
helst	aae	heldur
við	aa	við
í	aþ	í
sambandi	nheþ	samband
við	ao	við
dýrkun	nveo	dýrkun
á	aþ	á
tónlistarmönnum	nkfþ	tónlistarmaður
,	,	,
bítlaæðið	nheng	bítlaæði
var	sfg3eþ	vera
gott	lhensf	góður
dæmi	nhen	dæmi
um	ao	um
slíkt	fbheo	slíkur
brjálæði	nheo	brjálæði
.	.	.

Helstu	lkfnve	heldri
tónlistarmenn	nkfn	tónlistarmaður
síðustu	lveeve	síðari
aldar	nvee	öld
voru	sfg3fþ	vera
Elvis	nken-s	Elvis
Presley	e	Presley
,	,	,
Bítlarnir	nkfngs	Bítill
og	c	og
Rolling	e	Rolling
Stones	e	Stones
.	.	.

Elvis	nken-s	Elvis
var	sfg3eþ	vera
konungurinn	nkeng	konungur
,	,	,
í	aþ	í
upphafi	nheþ	upphaf
hneykslaðist	sfm3eþ	hneyksla
fólk	nhen	fólk
á	aþ	á
villtum	lvfþsf	villtur
mjaðmahreyfingum	nvfþ	mjaðmahreyfing
hans	fpkee	hann
en	c	en
fljótt	aa	fljótt
tók	sfg3eþ	taka
við	aa	við
hin	gven	hinn
magnaða	lvenvf	magnaður
aðdáun	nven	aðdáun
sem	ct	sem
á	sfg3en	eiga
sér	fpveþ	sig
enn	aa	enn
stað	nkeo	staður
í	ao	í
dag	nkeo	dagur
.	.	.

Elvis	nken-s	Elvis
dó	sfg3eþ	deyja
árið	nheog	ár
1977	ta	1977
en	c	en
margir	lkfnsf	margur
neita	sfg3fn	neita
að	cn	að
trúa	sng	trúa
því	fpheþ	það
og	c	og
telja	sfg3fn	telja
margir	lkfnsf	margur
sig	fpkfo	sig
hafa	sng	hafa
séð	ssg	sjá
hann	fpkeo	hann
á	aþ	á
labbi	nheþ	labb
.	.	.

Bítlarnir	nkfng	bítill
,	,	,
þeir	fpkfn	hann
John	e	John
,	,	,
Paul	e	Paul
,	,	,
George	e	George
og	c	og
Ringo	e	Ringo
byrjuðu	sfg3fþ	byrja
ungir	lkfnsf	ungur
að	cn	að
spila	sng	spila
saman	aa	saman
og	c	og
saman	aa	saman
þroskuðust	sfm3fþ	þroska
þeir	fpkfn	hann
og	c	og
urðu	sfg3fþ	verða
lifandi	lvfnof	lifandi
goðsagnir	nvfn	goðsögn
.	.	.

Önnur	foven	annar
eins	lvenof	eins
framleiðni	nven	framleiðni
á	aþ	á
tónlist	nveþ	tónlist
hefur	sfg3en	hafa
vart	aa	vart
sést	ssm	sjá
,	,	,
Paul	e	Paul
McCartney	e	McCartney
og	c	og
John	e	John
Lennon	e	Lennon
aðal	lkfnof	aðal
tónsmiðirnir	nkfng	tónsmiður
voru	sfg3fþ	vera
hreint	aa	hreint
út	aa	út
sagt	ssg	segja
ótrúlega	aa	ótrúlega
færir	lkfnsf	fær
að	cn	að
semja	sng	semja
góða	lveosf	góður
tónlist	nveo	tónlist
,	,	,
hver	foken	hver
«	«	«
hittarinn	nkeng	hittari
»	»	»
á	ao	á
fætur	nkfo	fótur
öðrum	fokeþ	annar
sem	ct	sem
náði	sfg3eþ	ná
á	ao	á
efstu	lhfove	efri
sæti	nhfo	sæti
flestra	lkfese	margur
vinsældarlista	nkfe	vinsældarlisti
.	.	.

Rolling	e	Rolling
Stones	e	Stones
er	sfg3en	vera
ennþá	aa	ennþá
að	cn	að
spila	sng	spila
og	c	og
vart	aa	vart
sést	sfm3en	sjá
fyrir	ao	fyrir
endan	x	endi
á	aþ	á
þeirra	fpkfe	hann
sigurgöngu	nveþ	sigurganga
um	ao	um
heiminn	nkeog	heimur
,	,	,
þeir	fpkfn	hann
eru	sfg3fn	vera
orðnir	sþgkfn	verða
gamlir	lkfnsf	gamall
kallar	nkfn	kalli
en	c	en
eru	sfg3fn	vera
þvílík	fbhfn	þvílíkur
kyntröll	nhfn	kyntröll
að	c	að
ungir	lkfnsf	ungur
menn	nkfn	maður
mega	sfg3fn	mega
skammast	snm	skamma
sín	fpkfe	sig
.	.	.

Í	ao	í
dag	nkeo	dagur
eru	sfg3fn	vera
fyrirmyndir	nvfn	fyrirmynd
ungra	lkfesf	ungur
drengja	nkfe	drengur
og	c	og
stúlkna	nvfe	stúlka
oft	aa	oft
tónlistarmenn	nkfn	tónlistarmaður
á	ao	á
borð	nheo	borð
við	ao	við
Britney	e	Britney
Spears	e	Spears
,	,	,
Enrique	e	Enrique
Iglesias	e	Iglesias
,	,	,
Sugababes	e	Sugababes
og	c	og
svo	aa	svo
mætti	svg3eþ	mega
lengi	aa	lengi
telja	sng	telja
.	.	.

Flestir	lkfnse	margur
þessir	fakfn	þessi
tónlistarmenn	nkfn	tónlistarmaður
eiga	sfg3fn	eiga
það	fpheo	það
sameiginlegt	lheosf	sameiginlegur
að	cn	að
semja	sng	semja
ekki	aa	ekki
sína	feveo	sinn
tónlist	nveo	tónlist
sjálfir	fbkfn	sjálfur
heldur	c	heldur
fá	sng	fá
tilbúin	lhfosf	tilbúinn
lög	nhfo	lag
upp	aa	upp
í	ao	í
hendurnar	nvfog	hönd
sem	ct	sem
eru	sfg3fn	vera
samin	sþghfn	semja
eftir	aþ	eftir
vinsældarformúlum	nvfþ	vinsældarformúla
,	,	,
hér	aa	hér
er	sfg3en	vera
það	fphen	það
yfirleitt	aa	yfirleitt
ýmind	x	ýmind
flytjandans	nkeeg	flytjandi
sem	ct	sem
höfðar	sfg3en	höfða
til	ae	til
hlustandans	nkeeg	hlustandi
.	.	.

Svo	aa	svo
er	sfg3en	vera
það	fphen	það
bara	aa	bara
spurning	nven	spurning
hvað	fsheo	hver
framtíðin	nveng	framtíð
ber	sfg3en	bera
í	aþ	í
skauti	nheþ	skaut
sér	fpveþ	sig
.	.	.

Tónlist	nven	tónlist
fyrir	ao	fyrir
fólkið	nheog	fólk

Í	aþ	í
upphafi	nheþ	upphaf
fór	sfg3eþ	fara
fólk	nhen	fólk
á	ao	á
tónleika	nkfo	tónleikar
til	ae	til
þess	fphee	það
að	cn	að
hlusta	sng	hlusta
á	ao	á
tónlist	nveo	tónlist
,	,	,
ekki	aa	ekki
var	sfg3eþ	vera
neinn	foken	neinn
annar	foken	annar
valkostur	nken	valkostur
fyrir	aþ	fyrir
hendi	nveþ	hönd
nema	c	nema
þá	aa	þá
að	cn	að
spila	sng	spila
hana	fpveo	hún
sjálfur	fbken	sjálfur
.	.	.

Fólk	nhen	fólk
ferðaðist	sfm3eþ	ferðast
langar	lvfosf	langur
leiðir	nvfo	leið
til	ae	til
þess	fphee	það
eins	lheesf	einn
að	cn	að
fá	sng	fá
að	cn	að
sjá	sng	sjá
og	c	og
heyra	sng	heyra
sína	fekfo	sinn
uppáhalds	nhee	uppáhald
tónlistarmenn	nkfo	tónlistarmaður
flytja	sng	flytja
verk	nhfo	verk
sín	fehfo	sinn
.	.	.

Engin	foven	enginn
leið	nven	leið
var	sfg3eþ	vera
að	cn	að
taka	sng	taka
upp	aa	upp
tónlistina	nveog	tónlist
og	c	og
var	sfg3eþ	vera
hver	foken	hver
flutningur	nken	flutningur
einstakur	lkensf	einstakur
.	.	.

Eftir	aþ	eftir
því	faheþ	sá
sem	ct	sem
árin	nhfng	ár
liðu	sfg3fþ	líða
og	c	og
tækninni	nveþg	tækni
fleygð	x	fleygja
fram	aa	fram
kom	sfg3eþ	koma
fram	aa	fram
á	ao	á
sjónarsviðið	nheog	sjónarsvið
brautryðjandi	lvenof	brautryðjandi
uppfinning	nven	uppfinning
.	.	.

Þetta	fahen	þessi
var	sfg3eþ	vera
apparat	nhen	apparat
sem	ct	sem
skynjaði	sfg3eþ	skynja
titring	nkeo	titringur
frá	aþ	frá
hljóði	nheþ	hljóð
og	c	og
risti	sfg3eþ	rista
með	aþ	með
nál	nveþ	nál
í	ao	í
kefli	nheo	kefli
sem	ct	sem
snerist	sfm3eþ	snúa
,	,	,
þegar	c	þegar
nálinni	nveþg	nál
var	sfg3eþ	vera
dregið	sþghen	draga
aftur	aa	aftur
yfir	aa	yfir
og	c	og
keflinu	nheþg	kefli
snúið	sþghen	snúa
þá	aa	þá
heyrðist	sfm3eþ	heyra
hljóðið	nheng	hljóð
sem	ct	sem
ristað	sþghen	rista
