spænsk-kólumbísks	lkeesf	spænsk-kólumbískur
skemmdum	nvfþ	skemmd
.	.	.
Læknar	nkfn	læknir
tóku	sfg3fþ	taka
því	aa	því
þá	faveo	sá
ákvörðun	nveo	ákvörðun
að	cn	að
snúa	sng	snúa
borinn	nkeog	bor
hægt	aa	hægt
úr	aþ	úr
höfuðkúpu	nveþ	höfuðkúpa
rafvirkjans	nkeeg	rafvirki
og	c	og
gera	sng	gera
að	aþ	að
sárum	nhfþ	sár
hans	fpkee	hann
.	.	.
Hunt	e	Hunt
er	sfg3en	vera
nú	aa	nú
kominn	sþgken	koma
heim	aa	heim
af	aþ	af
sjúkrahúsi	nheþ	sjúkrahús
og	c	og
fær	sfg3en	fá
innan	ae	innan
tíðar	nvee	tíð
glerauga	nheo	glerauga
í	ao	í
stað	nkeo	staður
þess	fahee	sá
sem	ct	sem
hann	fpken	hann
missti	sfg3eþ	missa
.	.	.
Stal	sfg3eþ	stela
helmingnum	nkeþg	helmingur
af	aþ	af
tekjum	nvfþ	tekja
sambandsins	nheeg	samband
Annar	lkensf	annar
framkvæmdastjóri	nken	framkvæmdastjóri
Fjórðungssambands	nhee-s	Fjórðungssamband
Vestfjarða	nkfe-s	Vestfirðir
í	aþ	í
röð	nveþ	röð
hefur	sfg3en	hafa
orðið	ssg	verða
uppvís	lkensf	uppvís
að	aþ	að
fjárdrætti	nkeþ	fjárdráttur
.	.	.
Hann	fpken	hann
millifærði	sfg3eþ	millifæra
hátt	aa	hátt
í	ao	í
sjö	tfvfo	sjö
milljónir	nvfo	milljón
af	aþ	af
reikningi	nkeþ	reikningur
sambandsins	nheeg	samband
yfir	aa	yfir
á	ao	á
sinn	fekeo	sinn
eigin	lkeoof	eigin
reikning	nkeo	reikningur
í	aþ	í
heimabanka	nkeþ	heimabanki
á	aþ	á
Netinu	nheþgs	Net
.	.	.
Framkvæmdastjóri	nken	framkvæmdastjóri
Fjórðungssamband	x	fjórðungssamband
Vestfjarða	nkfe-s	Vestfirðir
hefur	sfg3en	hafa
verið	ssg	vera
látinn	sþgken	láta
víkja	sng	víkja
í	ao	í
kjölfar	nheo	kjölfar
þess	fphee	það
að	c	að
endurskoðandi	nken	endurskoðandi
sambandsins	nheeg	samband
komst	sfm3eþ	koma
að	aþ	að
því	fpheþ	það
að	c	að
hann	fpken	hann
hafði	sfg3eþ	hafa
dregið	ssg	draga
sér	fpkeþ	sig
sjö	tfvfo	sjö
milljónir	nvfo	milljón
króna	nvfe	króna
.	.	.
Það	fphen	það
jafngildir	sfg3en	jafngilda
tæpum	lkeþsf	tæpur
helmingi	nkeþ	helmingur
árstekna	nvfe	árstekjur
sambandsins	nheeg	samband
.	.	.
Framkvæmdastjórinn	nkeng	framkvæmdastjóri
,	,	,
Ingimar	nken-s	Ingimar
Halldórsson	nken-s	Halldórsson
,	,	,
dró	sfg3eþ	draga
sér	fpkeþ	sig
fé	nheo	fé
í	aþ	í
tugum	nkfþ	tugur
millifærslna	nvfe	millifærsla
á	aþ	á
heimabanka	nkeþ	heimabanki
á	aþ	á
Netinu	nheþgs	net
frá	aþ	frá
síðasta	lheþve	síðari
ári	nheþ	ár
fram	aa	fram
á	ao	á
þetta	faheo	þessi
ár	nheo	ár
.	.	.
Upp	aa	upp
komst	sfm3eþ	koma
um	ao	um
fjárdráttinn	nkeog	fjárdráttur
á	ao	á
mánudaginn	nkeog	mánudagur
þegar	c	þegar
endurskoðandi	nken	endurskoðandi
sambandsins	nheeg	samband
vann	sfg3eþ	vinna
að	aþ	að
ársreikningi	nkeþ	ársreikningur
fyrir	ao	fyrir
fjórðungsþing	nheo	fjórðungsþing
sem	ct	sem
haldið	sþghen	halda
verður	sfg3en	verða
á	ao	á
morgun	nkeo	morgunn
í	aþ	í
Reykjanesi	nheþ-s	Reykjanes
í	aþ	í
Ísafjarðardjúpi	nheþ-s	Ísafjarðardjúp
.	.	.
Ingimar	nken-s	Ingimar
hefur	sfg3en	hafa
þegar	aa	þegar
borgað	ssg	borga
til	aa	til
baka	aa	baka
stærstan	lkeose	stór
hluta	nkeo	hluti
fjárins	nheeg	fé
.	.	.
Um	ao	um
síðustu	lhfove	síðari
áramót	nhfo	áramót
borgaði	sfg3eþ	borga
Ingimar	nken-s	Ingimar
til	aa	til
baka	aa	baka
fjárdrátt	nkeo	fjárdráttur
ársins	nheeg	ár
2002	ta	2002
,	,	,
og	c	og
á	ao	á
mánudaginn	nkeog	mánudagur
borgaði	sfg3eþ	borga
hann	fpken	hann
þrjár	tfvfo	þrír
milljónir	nvfo	milljón
til	aa	til
baka	aa	baka
af	aþ	af
þeim	favfþ	sá
4,6	ta	4,6
milljónum	nvfþ	milljón
sem	ct	sem
hann	fpken	hann
hafði	sfg3eþ	hafa
tekið	ssg	taka
í	ao	í
ár	nheo	ár
.	.	.
Guðni	nken-s	Guðni
G.	as	G.
Jóhannesson	nken-s	Jóhannesson
,	,	,
stjórnarformaður	nken	stjórnarformaður
Fjórðungssambandsins	nheegs	Fjórðungssamband
,	,	,
segir	sfg3en	segja
fólk	nheo	fólk
slegið	lheosf	sleginn
vegna	ae	vegna
málsins	nheeg	mál
.	.	.
«	«	«
Svona	lkfnof	svona
hlutir	nkfn	hlutur
hvörfluðu	sfg3fþ	hvarfla
