annarra	fokfe	annar
Cockerham	e	Cockerham
,	,	,
1996	ta	1996
)	)	)
.	.	.

157	ta	157
Algengt	lhensf	algengur
er	sfg3en	vera
að	cn	að
skýra	sng	skýra
mismunandi	lheoof	mismunandi
heilbrigði	nheo	heilbrigði
kynjanna	nhfeg	kyn
á	aþ	á
grundvelli	nkeþ	grundvöllur
ólíkra	lhfesf	ólíkur
félagslegra	lhfesf	félagslegur
hlutverka	nhfe	hlutverk
þeirra	fphfe	það
.	.	.

Fjölskyldan	nveng	fjölskylda
mótar	sfg3en	móta
börn	nhfo	barn
með	aþ	með
tilliti	nheþ	tillit
til	ae	til
þeirra	fahfe	sá
hlutverka	nhfe	hlutverk
sem	ct	sem
vænst	sþmhen	vænta
er	sfg3en	vera
af	aþ	af
þeim	fphfþ	það
á	aþ	á
fullorðinsaldri	nkeþ	fullorðinsaldur
.	.	.

Fjölskyldan	nveng	fjölskylda
kennir	sfg3en	kenna
þeim	fphfþ	það
þau	fahfo	sá
viðmið	nhfo	viðmið
sem	ct	sem
þau	fphfn	það
eiga	sfg3fn	eiga
að	cn	að
fylgja	sng	fylgja
,	,	,
t.d.	as	t.d.
að	c	að
þau	fphfn	það
eigi	svg3fn	eiga
að	cn	að
