listamaðurinn	nkeng	listamaður
símstöðvarstjóra	nkeþ	símstöðvarstjóri
í	aþ	í
Sandgerði	nheþ-s	Sandgerði
sem	ct	sem
er	sfg3en	vera
látinn	lkensf	látinn
.	.	.

Jóhann	nken-s	Jóhann
sonur	nken	sonur
hennar	fpvee	hún
fórst	sfm3eþ	fara
1986	ta	1986
þegar	c	þegar
hann	fpken	hann
var	sfg3eþ	vera
að	cn	að
ferja	sng	ferja
bát	nkeo	bátur
yfir	ao	yfir
Faxaflóa	nkeo-s	Faxaflói
og	c	og
í	aþ	í
febrúar	nkeþ	febrúar
2002	ta	2002
drukknuðu	sfg3fþ	drukkna
Snorri	nken-s	Snorri
og	c	og
Matthías	nken-s	Matthías
,	,	,
synir	nkfn	sonur
hennar	fpvee	hún
,	,	,
þegar	c	þegar
bátur	nken	bátur
þeirra	fpkfe	hann
fórst	sfm3eþ	fara
við	ao	við
Vestmannaeyjar	nvfo-s	Vestmannaeyjar
.	.	.

Þótt	c	þótt
Anna	nven-s	Anna
sé	svg3en	vera
á	aþ	á
83.	ta	83.
aldursári	nheþ	aldursár
vinnur	sfg3en	vinna
hún	fpven	hún
við	ao	við
umönnunarstörf	nhfo	umönnunarstarf
á	aþ	á
Elliheimilinu	nheþg	elliheimili
Grund	nveþ-s	Grund
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
.	.	.

Anna	nven-s	Anna
var	sfg3eþ	vera
alla	foveo	allur
tíð	nveo	tíð
farsæl	lvensf	farsæll
ljósmóðir	nven	ljósmóðir
en	c	en
segist	sfm3en	segja
ekki	aa	ekki
hafa	sng	hafa
tölu	nveo	tala
á	aþ	á
þeim	fahfþ	sá
börnum	nhfþ	barn
sem	ct	sem
hún	fpven	hún
hefur	sfg3en	hafa
tekið	ssg	taka
á	aa	á
móti	aa	móti
í	ao	í
þennan	fakeo	þessi
heim	nkeo	heimur
.	.	.

Hún	fpven	hún
man	sfg3en	muna
hún	fpven	hún
að	c	að
fyrsti	lkenve	fyrstur
drengurinn	nkeng	drengur
sem	ct	sem
hún	fpven	hún
tók	sfg3eþ	taka
á	aa	á
móti	aa	móti
í	aþ	í
Sandgerði	nheþ-s	Sandgerði
var	sfg3eþ	vera
Garðar	nken-s	Garðar
Garðarsson	nken-s	Garðarsson
skipstjóri	nken	skipstjóri
sem	ct	sem
á	aþ	á
25	ta	25
ára	nhfe	ár
afmælisdegi	nkeþ	afmælisdagur
Slysavarnasveitarinnar	nveegs	Slysavarnasveit
Sigurvonar	nvee-s	Sigurvon
lagði	sfg3eþ	leggja
blómsveig	nkeo	blómsveigur
að	aþ	að
höfninni	nveþg	höfn
til	ae	til
minningar	nvee	minning
um	ao	um
drukknaða	lkfosf	drukknaður
sjómenn	nkfo	sjómaður
.	.	.

Ýmislegt	lhensf	ýmislegur
var	sfg3eþ	vera
til	ae	til
skemmtunar	nvee	skemmtun
gert	sþghen	gera
á	ao	á
sjómannadaginn	nkeog	sjómannadagur
og	c	og
í	aþ	í
lokum	nhfþ	lok
var	sfg3eþ	vera
öllum	fokfþ	allur
gestum	nkfþ	gestur
boðið	sþghen	bjóða
til	ae	til
mikillar	lveesf	mikill
grillveislu	nvee	grillveisla
þar	aa	þar
sem	c	sem
bæjarfulltrúar	nkfn	bæjarfulltrúi
sáu	sfg3fþ	sjá
um	ao	um
glóðarsteikinguna	nveog	glóðarsteiking
.	.	.

Allir	fokfn	allur
kettir	nkfn	köttur
skulu	sfg3fn	skulu
skráðir	sþgkfn	skrá
:	:	:
KATTAEIGENDUR	nkfn	kattaeigandi
á	aþ	á
Suðurnesjum	nhfþ-s	Suðurnes
hafa	sfg3fn	hafa
nokkurra	fovfe	nokkur
vikna	nvfe	vika
frest	nkeo	frestur
til	ae	til
að	cn	að
skrá	sng	skrá
ketti	nkfo	köttur
sína	fekfo	sinn
hjá	aþ	hjá
Heilbrigðiseftirliti	nheþ-s	Heilbrigðiseftirlit
Suðurnesja	nhfe-s	Suðurnes
,	,	,
samkvæmt	aþ	samkvæmt
samþykkt	nveþ	samþykkt
um	ao	um
kattahald	nheo	kattahald
sem	ct	sem
tekið	ssg	taka
hefur	sfg3en	hafa
gildi	nheo	gildi
.	.	.

--	--	--
>	>	>
KATTAEIGENDUR	nkfn	kattaeigandi
á	aþ	á
Suðurnesjum	nhfþ-s	Suðurnes
hafa	sfg3fn	hafa
nokkurra	fovfe	nokkur
vikna	nvfe	vika
frest	nkeo	frestur
til	ae	til
að	cn	að
skrá	sng	skrá
ketti	nkfo	köttur
sína	fekfo	sinn
hjá	aþ	hjá
Heilbrigðiseftirliti	nheþ-s	Heilbrigðiseftirlit
Suðurnesja	nhfe-s	Suðurnes
,	,	,
samkvæmt	aþ	samkvæmt
samþykkt	nveþ	samþykkt
um	ao	um
kattahald	nheo	kattahald
sem	ct	sem
tekið	ssg	taka
hefur	sfg3en	hafa
gildi	nheo	gildi
.	.	.

Við	ao	við
skráningu	nveo	skráning
kattar	nkee	köttur
skal	sfg3en	skulu
eigandi	nken	eigandi
eða	c	eða
umráðamaður	nken	umráðamaður
framvísa	sng	framvísa
vottorði	nheþ	vottorð
frá	aþ	frá
dýralækni	nkeþ	dýralæknir
um	ao	um
örmerkingu	nveo	örmerking
eða	c	eða
húðflúrmerkingu	nveo	húðflúrmerking
og	c	og
spóluormahreinsun	nveo	spóluormahreinsun
kattarins	nkeeg	köttur
.	.	.

Skráningargjald	nhen	skráningargjald
er	sfg3en	vera
kr.	as	kr.
15.000	ta	15.000
fyrir	ao	fyrir
hvern	fokeo	hver
kött	nkeo	köttur
.	.	.

Þeir	fakfn	sá
sem	ct	sem
láta	sfg3fn	láta
skrá	sng	skrá
ketti	nkfo	köttur
sína	fekfo	sinn
fyrir	ao	fyrir
10.	ta	10.
ágúst	nkeo	ágúst
nk.	as	nk.
fá	sfg3fn	fá
5.000	ta	5.000
króna	nvfe	króna
afslátt	nkeo	afsláttur
.	.	.

Ekki	aa	ekki
er	sfg3en	vera
áætlað	sþghen	áætla
að	cn	að
taka	sng	taka
upp	aa	upp
árgjald	nheo	árgjald
fyrir	ao	fyrir
kattahald	nheo	kattahald
.	.	.

Fram	aa	fram
kemur	sfg3en	koma
