mennskra	lvfesf	mennskur
tilkomu	nveþ	tilkoma
verslunarinnar	nveeg	verslun
í	aþ	í
Mjódd	nveþ-s	Mjódd
var	sfg3eþ	vera
hægt	lhensf	hægur
að	cn	að
bjóða	sng	bjóða
viðskiptavinum	nkfþ	viðskiptavinur
fyrirtækisins	nheeg	fyrirtæki
að	cn	að
setjast	snm	setja
niður	aa	niður
og	c	og
fá	sng	fá
sér	fpkfþ	sig
kaffisopa	nkeo	kaffisopi
en	c	en
engin	foven	enginn
konditoríaðstaða	nven	konditoríaðstaða
var	sfg3eþ	vera
í	aþ	í
Suðurveri	nheþ-s	Suðurver
,	,	,
en	c	en
henni	fpveþ	hún
hefur	sfg3en	hafa
síðar	aam	síðar
verið	ssg	vera
bætt	sþghen	bæta
við	aa	við
.	.	.

Þannig	aa	þannig
má	sfg3en	mega
segja	sng	segja
að	c	að
viðskiptahugmyndin	nveng	viðskiptahugmynd
skiptist	svm3en	skipta
nú	aa	nú
í	ao	í
fjóra	tfkfo	fjórir
þætti	nkfo	þáttur
,	,	,
bakarí	nheo	bakarí
,	,	,
konditorí	nheo	konditorí
,	,	,
skyndibita	nkeo	skyndibiti
og	c	og
kaffihús	nheo	kaffihús
,	,	,
að	aþ	að
sögn	nveþ	sögn
Vigfúsar	nkee-s	Vigfús
.	.	.

Við	fp1fn	ég
erum	sfg1fn	vera
með	ao	með
bestu	lveove	góður
gerð	nveo	gerð
kaffivéla	nvfe	kaffivél
og	c	og
sérstaklega	aa	sérstaklega
þjálfað	lhensf	þjálfaður
starfsfólk	nhen	starfsfólk
og	c	og
getum	sfg1fn	geta
því	aa	því
boðið	ssg	bjóða
upp	aa	upp
á	ao	á
fyrsta	lkeevf	fyrstur
flokks	nkee	flokkur
kaffidrykki	nkfo	kaffidrykkur
.	.	.

Að	aþ	að
sögn	nveþ	sögn
Vigfúsar	nkee-s	Vigfús
var	sfg3eþ	vera
ákveðið	sþghen	ákveða
að	c	að
fimmta	lvenvf	fimmti
verslunin	nveng	verslun
,	,	,
sem	ct	sem
opnuð	sþgven	opna
var	sfg3eþ	vera
í	aþ	í
Smáratorgi	nheþ-s	Smáratorg
í	aþ	í
Kópavogi	nkeþ-s	Kópavogur
árið	nheog	ár
2005	ta	2005
,	,	,
skyldi	svg3eþ	skulu
