[ [
Ráðherra nken
] ]
2 ta
) )
ákveður sfg3en
yfirstjórn nveo
mats nkee
þeirra favfe
búvara nvfe
sem ct
ákveðið sþghen
er sfg3en
að cn
taka sng
til ae
mats nkee
samkvæmt aþ
þessari faveþ
grein nveþ
. .
 
Um ao
löggildingu nveo
matsmanna nkfe
fer sfg3en
eftir aþ
ákvæðum nhfþ
í aþ
reglugerð nveþ
og c
er sfg3en
þar aa
heimilt lhensf
að cn
ákveða sng
að c
afurðastöð nveo
og c
söluaðilar nkfn
skuli svg3fn
á ao
sinn fekeo
kostnað nkeo
hafa sng
í aþ
þjónustu nveþ
sinni feveþ
matsmenn nkfo
til ae
að cn
framkvæma sng
mat nkeo
samkvæmt aþ
þessari faveþ
grein nveþ
. .
 
Þá aa
eina lhenvf
má sfg3en
skipa sng
eða c
löggilda nvfe
sem ct
matsmenn nkfn
sem ct
hafa sfg3fn
góða lveosf
þekkingu nveo
á aþ
viðkomandi lveþof
búvöru nveþ
og c
reynslu nveþ
í aþ
öllu foheþ
er ct
varðar sfg3en
meðferð nveo
varanna nvfeg
og c
mat nkeo
á aþ
þeim fphfþ
. .
 
Í aþ
reglugerð nveþ
skulu sfg3fn
sett lhfnsf
ákvæði nhfn
um ao
matsreglur nvfo
, ,
gæðaflokkun nveo
, ,
framkvæmd nveo
mats nkee
, ,
yfirmat nkeo
og c
annað fohen
sem ct
lýtur sfg3en
að aþ
matinu nheþg
. .
 
Afurðastöðvum nvfþ
og c
öðrum fokfþ
, ,
sem ct
annast sfm3en
sölumeðferð nveo
þeirra favfe
búvara nvfe
sem ct
mat sfg3eþ
samkvæmt aþ
þessari faveþ
grein nveþ
tekur sfg3en
til aa
, ,
er sfg3en
skylt lhensf
að cn
sjá sng
matsmönnum nkfþ
fyrir aþ
aðstöðu nveþ
til ae
að cn
framkvæma sng
matið nheog
samkvæmt aþ
nánari lvfþvm
reglum nvfþ
sem ct
settar lvfnsf
skulu sfg3fn
í aþ
reglugerð nveþ
. .
 
Við ao
verðlagningu nveo
búvara nkee
skal sfg3en
verð nhen
þeirra fpvfe
ákveðið ssg
mismunandi lveoof
eftir aa
tegunda- nkfþ
og c
gæðaflokkum nkfþ
sem ct
ákveðnir sþgkfn
eru sfg3fn
samkvæmt aþ
þessari faveþ
grein nveþ
, ,
[ [
lögum nhfþ
nr. nhen
96 ta
27. ta
maí nkeo
1997 ta
, ,
um aa
eldi sfg3eþ
og c
heilbrigði nhen
sláturdýra nhfe
, ,
slátrun nven
, ,
vinnslu nvee
, ,
heilbrigðisskoðun nveo
og c
gæðamat nkeo
á aþ
sláturafurðum nvfþ
] ]
, ,
4 ta
) )
lögum nhfþ
nr. nhen
57 ta
16. ta
maí nkeo
1990 ta
, ,
um ao
flokkun nveo
og c
mat nkeo
á aþ
gærum nhfþ
og c
ull nveþ
, ,
og c
öðrum fohfþ
lögum nhfþ
og c
reglum nvfþ
um ao
sama fbheo
efni nheo
. .
 
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
3 ta
) )
L. nhfe
 
167/2007 ta
, ,
56. ta
gr. nveo
4 ta
) )
L. nhfe
 
88/2000 ta
, ,
13. ta
gr. nveo
5 ta
) )
Nú aa
l. lvensf
84/1997 ta
. .
 
[ [
67. ta
gr. nven
] ]
1 ta
) )
Þeir fpkfn
sem ct
versla sfg3fn
með ao
búvörur nvfo
skulu sfg3fn
fullnægja sng
skilyrðum nhfþ
laga sng
og c
annarra fovfe
ákvarðana nvfe
yfirvalda nhfe
um ao
slíka fbveo
starfsemi nveo
og c
hafa sfg3fn
fullnægjandi lveoof
aðstöðu nveo
til ae
meðferðar nvee
, ,
flutnings nkee
og c
geymslu nvee
þeirrar favee
vöru nvee
sem ct
þeir fpkfn
taka sfg3fn
til ae
sölumeðferðar nvee
samkvæmt aþ
reglum nvfþ
heilbrigðisyfirvalda nhfe
. .
 
Nú aa
selur sfg3en
framleiðandi nken
eigin lveoof
búvöruframleiðslu nveo
til ae
smásöluverslunar nvee
eða c
neytenda nkfe
og c
er sfg3en
honum fpkeþ
þá aa
skylt lhensf
að cn
fullnægja sng
ákvæðum nhfþ
laga nhfe
og c
annarra fovfe
ákvarðana nvfe
yfirvalda nhfe
um ao
flokkun nveo
, ,
mat nkeo
, ,
flutning nkeo
, ,
geymslu nveo
og c
annað foheo
sem ct
lýtur sfg3en
að c
meðferð nveo
vörunnar nveeg
. .
 
Skylt lhensf
er sfg3en
seljanda nven
og c
kaupanda nkfe
að cn
veita sng
[ [
Matvælastofnun nveþ-s
] ]
2 ta
) )
allar fovfn
umbeðnar lvfosf
upplýsingar nvfo
um ao
söluna nveog
, ,
þar aa
á aa
meðal ae
um ao
uppruna nkee
vörunnar nveeg
, ,
svo aa
að cn
ganga sng
megi svg1en
úr aþ
skugga nkeþ
um ao
að c
ofangreind lhfnsf
skilyrði nhfn
hafi svg3en
verið ssg
uppfyllt lhensf
. .
 
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
167/2007 ta
, ,
56. ta
gr. nveo
 
[ [
68. ta
– nhen
70. ta
gr. nven
] ]
1 ta
) )
… nhen
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
69/1998 ta
, ,
18. ta
gr. nveo
 
[ [
71. ta
gr. nven
] ]
1 ta
) )
[ [
Þrátt aa
fyrir ao
ákvæði nhfo
samkeppnislaga nkfe
er sfg3en
afurðastöðvum nvfþ
í aþ
mjólkuriðnaði nkeþ
heimilt lhensf
að cn
sameinast snm
, ,
gera sng
með aþ
sér fpveþ
samkomulag nhen
um ao
verkaskiptingu nveo
milli ae
mjólkursamlaga nhfe
að aþ
því fpheþ
er ct
varðar sfg3en
framleiðslu nveo
einstakra lvfesf
mjólkurvara nvfe
og c
hafa sfg3fn
með aþ
sér fpheþ
annars fokee
konar nkee
samstarf nheo
til ae
þess fphee
að cn
halda sng
niðri aa
kostnaði nkeþ
við ao
framleiðslu nveo
, ,
geymslu nveo
og c
dreifingu nveo
mjólkurafurða nvfe
. .
] ]
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
85/2004 ta
, ,
2. ta
gr. nveo
 
[ [
72. ta
– nhen
73. ta
gr. nven
] ]
1 ta
) )
… nhen
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
69/1998 ta
, ,
18. ta
gr. nveo
 
[ [
74. ta
gr. nven
] ]
1 ta
) )
… nhen
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
58/2007 ta
, ,
21. ta
gr. nveo
 
[ [
75. ta
gr. nven
] ]
1 ta
) )
… nhen
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
36. ta
gr. nveo
 
[ [
76. ta
gr. nven
] ]
1 ta
) )
Þar aa
sem c
afurðastöð nven
búvara nkee
er sfg3en
í aþ
eigu nveþ
aðila nkee
sem ct
hefur sfg3en
með aþ
höndum nvfþ
annan fokeo
rekstur nken
er sfg3en
skylt lhensf
að cn
halda sng
bókhaldi nheþ
og c
fjárreiðum lvfþsf
afurðastöðvarinnar nveeg
aðgreindum sfg1fþ
frá aþ
öðrum fokeþ
rekstri nkeþ
viðkomandi lkeþof
aðila nkeþ
. .
 
Þá aa
getur sfg3en
[ [
verðlagsnefnd nven
búvöru nvee
] ]
2 ta
) )
ákveðið ssg
að c
afurðastöðvar nvfo
skuli svg3en
setja sng
reikninga nkfo
sína fekfo
upp ao
með aþ
samræmdum lkeþsf
hætti nkeþ
. .
 
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
69/1998 ta
, ,
16. ta
gr. nveo
 
[ [
XIII. nken-s
 
kafli nken
. .
] ]
1 ta
) )
Ýmis fohfn
ákvæði nhfn
. .
 
1 ta
) )
L. nhfe
 
84/2002 ta
, ,
2. ta
gr. nveo
 
[ [
77. ta
gr. nven
] ]
1 ta
) )
[ [
Matvælastofnun nven-s
skal sfg3en
safna sng
upplýsingum nvfþ
og c
birta sng
ár nhfo
hvert foheo
skýrslu nveo
um ao
framleiðslu nveo
búvara nkee
, ,
vinnslu nvee
þeirra fpvfe
og c
sölu nvee
. .
 
Þá aa
skal sfg3en
Matvælastofnun nven-s
gera sng
áætlanir nvfo
um ao
framleiðslu nveo
og c
sölu nveo
búvara nkee
. .
 
Skylt lhensf
er sfg3en
öllum fokfþ
þeim fpkfþ
er ct
hafa sfg3fn
með aþ
höndum nvfþ
vinnslu nvee
eða c
sölu nvee
búvara nkee
að cn
láta sng
Matvælastofnun nveo-s
í aþ
té nheþ
allar fovfn
upplýsingar nvfn
sem ct
að aþ
gagni nheþ
geta sfg3fn
komið ssg
við aa
störf nhfo
stofnunarinnar nveeg
og c
þeir fpkfn
geta sfg3fn
veitt ssg
, ,
þar aa
með ao
talið nheog
upplýsingar nvfo
um ao
verð nheo
búvöru nvee
til ae
framleiðenda nkfe
. .
] ]
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
46/2015 ta
, ,
8. ta
gr. nveo
 
[ [
78. ta
gr. nven
] ]
1 ta
) )
Kostnaður nken
við ao
framkvæmd nveo
IV ta
. .
 
kafla nkfe
þessara fahfe
laga nhfe
greiðist sfm3eþ
úr aþ
ríkissjóði nkeþ
. .
 
Ráðherra nken
ákveður sfg3en
þóknun nveo
nefndarmanna nkfeg
í aþ
verðlagsnefnd nveþ
… nhen
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
69/1998 ta
, ,
16. ta
gr. nveo
 
[ [
79. ta
gr. nven
] ]
1 ta
) )
[ [
[ [
Ráðherra nken
] ]
2 ta
) )
skal sfg3en
setja sng
reglugerð nveo
um ao
gæðastjórn nveo
í aþ
landbúnaðarframleiðslu nveþ
. .
 
Í aþ
reglugerðinni nveþg
skal sfg3en
lýst sþghen
kröfum nvfþ
um ao
gæðastjórn nveo
, ,
vinnslu nveo
, ,
geymslu nveo
og c
dreifingu nveo
íslenskra lvfesf
landbúnaðarafurða nvfe
. .
] ]
3 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
3 ta
) )
L. nhfe
 
124/1995 ta
, ,
20. ta
gr. nveo
 
[ [
80. ta
gr. nven
] ]
1 ta
) )
… nhen
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
112/1999 ta
, ,
23. ta
gr. nveo
 
[ [
81. ta
gr. nven
] ]
1 ta
) )
[ [
Ráðherra nken
skal sfg3en
í aþ
reglugerð nveþ
2 ta
) )
mæla sng
fyrir aþ
um aa
nánari lveþvm
framkvæmd nveþ
laga nhfe
þessara fahfe
, ,
þar aa
á aa
meðal ae
um ao
: :
1 ta
. .
 
Stærðarmörk nhfn
afurðastöðva nvfe
vegna ae
frumframleiðslu nvee
sinnar fevee
skv. aþ
2. ta
gr. nveþ
 
2 ta
. .
 
Réttindi nhfn
framleiðenda nkfe
og c
skilyrði nhen
fyrir aþ
greiðslum nvfþ
skv. aþ
30. ta
gr. nveþ
 
3 ta
. .
 
Framkvæmd nven
vegna ae
röskunar nvee
framleiðsluskilyrða nhfe
og c
greiðslur nvfn
og c
úttektir nvfn
skv. aþ
32. ta
gr. nveþ
 
4 ta
. .
 
Skilyrði nhen
fyrir aþ
greiðslum nvfþ
skv. aþ
37. ta
gr. nveþ
, ,
greiðslumark nheo
sauðfjár nhee
, ,
beingreiðslur nvfn
fyrir ao
sauðfé nheo
, ,
ráðstöfun nveo
skertra lveþof
og c
ónýttra lvfesf
beingreiðslna nvfe
, ,
hvernig aa
þeim fphfþ
skuli svg3en
ráðstafað sþghen
og c
af aþ
hvaða fskeþ
opinbera lkeþvf
aðila nkeþ
, ,
innlausn nveþ
greiðslumarks nhee
og c
aðilaskipti nheo
á aþ
greiðslumarki nheþ
skv. aþ
 
IX lkenvf
. .
 
kafla nkeþ
. .
 
5 ta
. .
 
Gæðastýrða sng
sauðfjárframleiðslu nveþ
varðandi slg
landnýtingarskilyrði nheþ
, ,
gæðakerfi nheþ
, ,
tilkynningar nvfo
og c
fresti nkeþ
, ,
kæruheimildir nvfn
, ,
eftirlit nhen
og c
úttektaraðila nkeþ
, ,
landbótaáætlanir nvfo
og c
tilhögun nveþ
álagsgreiðslna nvfe
skv. aþ
41. ta
gr. nveþ
 
6 ta
. .
 
Heildargreiðslumark nhen
mjólkur nvfn
og c
skiptingu nveo
þess fphee
á aþ
lögbýli nheþ
, ,
greiðslur nvfn
út aa
á ao
greiðslumark nheo
og c
innvegna sng
mjólk nveo
, ,
innlausnarskyldu nveo
á aþ
greiðslumarki nheþ
, ,
aðilaskiptingu nveþ
og c
skráningu nveþ
þeirra fpvfe
og c
greiðslur nvfn
til ae
framleiðenda nkfe
nautakjöts nhee
skv. aþ
 
X. lkeþsf
kafla nkeþ
. .
 
7 ta
. .
 
Tilfærslur nvfn
milli ae
liða nhfe
búvörusamninga nkfe
skv. aþ
30. ta
gr. nveþ
, ,
sbr. as
55. ta
gr. nveo
 
A. fohee
 
8 ta
. .
 
Beingreiðslur nvfn
til ae
framleiðenda nkfe
garðyrkjuafurða nvfe
, ,
heildarfjárhæð nveo
beingreiðslna sfg3fn
og c
skiptingu nveo
milli ae
tegunda nvfe
, ,
fjárhæð nveo
á ao
kíló nheo
, ,
gæðaflokkun nveo
eftir aþ
tímabilum nhfþ
og c
önnur fohfn
framlög nhfn
til ae
garðyrkju nvee
, ,
framkvæmd nveo
og c
tilhögun nveo
skv. aþ
 
XI. nveo
 
kafla nkeþ
. .
 
9 ta
. .
 
Eftirlit nhfn
með aþ
innflutningi nkeþ
afurða nvfe
þar aa
sem c
gefin lhfnsf
hafa sfg3fn
verið ssg
vaxtaraukandi lhfnof
efni nhfn
á aþ
framleiðsluskeiði nheþ
, ,
sýnatökur nvfn
og c
rannsóknir nvfn
skv. aþ
2. ta
mgr. nveþ
64. ta
gr. nveþ
 
10 ta
. .
 
Úthlutun nven
tollkvóta nkee
skv. aþ
5. ta
mgr. nveþ
65. ta
gr. nveþ
, ,
5. ta
mgr. nveo
65. ta
gr. nveo
 
A x
og c
2. ta
mgr. nveo
65. ta
gr. nveo
 
B. nheo
 
11 ta
. .
 
Eftirlit nhen
skv. aþ
66. ta
gr. nveþ
 
Ráðherra nken
er sfg3en
heimilt lhensf
að cn
setja sng
reglugerð nveo
um ao
verkefni nheo
, ,
valdsvið nheo
og c
starfsskilyrði nhfo
framkvæmdanefndar nvee
búvörusamninga nkfo
skv. aþ
31. ta
gr. nveþ
] ]
3 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
Rg nven-s
. .
 
224/1994 ta
. .
 
Rg nkeo
. .
 
373/1993 ta
. .
 
Rg nkeo
. .
 
60/1994 ta
, ,
sbr. as
660/1994 ta
. .
 
Rg nkeo
. .
 
407/1997 ta
, ,
sbr. as
617/1997 ta
. .
 
Rg nkeo
. .
 
522/1997 ta
. .
 
Rg nkeo
. .
 
523/1997 ta
. .
 
Rg nkeo
. .
 
524/1998 ta
, ,
sbr. as
488/1999 ta
, ,
615/2001 ta
, ,
777/2001 ta
og c
792/2008 ta
. .
 
Rg nkeo
. .
 
651/2001 ta
, ,
sbr. as
726/2004 ta
, ,
807/2006 ta
og c
938/2014 ta
. .
 
Rg nkeo
. .
 
500/2010 ta
. .
 
Rg nkeo
. .
 
1180/2017 ta
. .
 
Rg nkeo
. .
 
1181/2017 ta
, ,
sbr. as
624/2018 ta
. .
 
Rg nkeo
. .
 
1183/2017 ta
, ,
sbr. as
19/2018 ta
. .
 
Rg nkeo
. .
 
511/2018 ta
. .
 
3 ta
) )
L. nhfe
 
102/2016 ta
, ,
38. ta
gr. nveo
 
[ [
82. ta
gr. nven
] ]
1 ta
) )
[ [
Brot nhen
gegn aþ
lögum nhfþ
þessum fahfþ
og c
reglugerðum nvfþ
settum sfg1fþ
samkvæmt aþ
þeim fphfþ
varða sfg3fn
sektum nvfþ
nema c
þyngri lvenvm
refsing nven
liggi svg3en
við fp1fn
samkvæmt aþ
öðrum fohfþ
lögum nhfþ
. .
] ]
2 ta
) )
Ef c
aðili nken
, ,
sem ct
samkvæmt aþ
lögum nhfþ
þessum fahfþ
er sfg3en
skylt lhensf
að cn
gefa sng
… nheo
3 ta
) )
skýrslu nveo
eða c
upplýsingar nvfn
, ,
tregðast sfm3fn
við ao
að cn
láta sng
þær fpvfo
í aþ
té nheþ
má sfg3en
beita sng
dagsektum nvfþ
[ [
sem ct
mega sfg3fn
nema c
20.000 ta
– nhen
100.000 ta
kr. nvfn
fyrir ao
hvern fokeo
dag nkeo
] ]
. .
 
3 ta
) )
[ [
Ráðherra nken
skal sfg3en
taka sng
ákvörðun nveo
um ao
álagningu nveo
dagsekta nvfe
skv. aþ
2. ta
mgr. nveþ
að aþ
fenginni lveþsf
tillögu nveþ
þess fakee
aðila nkee
sem ct
heimilt lhensf
er sfg3en
að cn
safna sng
upplýsingum nvfþ
samkvæmt aþ
lögum nhfþ
þessum fahfþ
. .
 
Dagsektir nvfn
, ,
að c
frádregnum lkeþsf
kostnaði nkeþ
við ao
álagningu nveo
og c
innheimtu nveo
, ,
renna sfg3fn
í ao
ríkissjóð nkeo
og c
má sfg3en
gera sng
aðför nveo
til ae
fullnustu nvee
þeirra fphfe
án ae
undangengins lkeesf
dóms nkee
eða c
sáttar nvee
. .
] ]
3 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
88/2008 ta
, ,
234. ta
gr. nveo
3 ta
) )
L. nhfe
 
160/2012 ta
, ,
4. ta
gr. nveo
 
[ [
83. ta
gr. nven
] ]
1 ta
) )
… nhen
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
39. ta
gr. nveo
 
[ [
84. ta
gr. nven
] ]
1 ta
) )
… nhen
2 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
39. ta
gr. nveo
 
[ [
[ [
85. ta
gr. nveo
] ]
1 ta
) )
… nhen
2 ta
) )
] ]
3 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
102/2016 ta
, ,
39. ta
gr. nveo
3 ta
) )
L. nhfe
 
126/1993 ta
, ,
2. ta
gr. nveo
 
[ [
85. ta
gr. nven
 
A. fohee
 
Til ae
þess fphee
að cn
jafna sng
samkeppnisstöðu nveo
innlendra lvfesf
vara nvfe
við ao
útflutning nkeo
er sfg3en
[ [
ráðherra nken
] ]
1 ta
) )
heimilt lhensf
að cn
greiða sng
verðjöfnun nveo
við ao
útflutning nkeo
fullunninna lvenof
vara sfg3fn
sem ct
innihalda sfg3fn
innlend lhfosf
landbúnaðarhráefni nhfo
. .
 
Verðjöfnun nven
skal sfg3en
vera sng
jöfn lvensf
mismun nkeo
á aþ
innlendu lheþsf
viðmiðunarverði nheþ
og c
erlendu lheþsf
viðmiðunarverði nheþ
hverrar fsvee
tegundar nvee
hráefnis nhee
sem ct
notað sþghen
er sfg3en
við ao
framleiðslu nveo
vörunnar nveeg
. .
 
Greiðslur nvfn
miðast sfm3fn
við ao
heimildir nvfo
fjárlaga nhfe
hverju fsheþ
sinni nheþ
. .
 
[ [
Ráðherra nken
] ]
1 ta
) )
gefur sfg3en
út ao
reglugerð nveo
2 ta
) )
þar aa
sem c
tilgreind sþgven
skulu sfg3fn
þau fahfn
tollskrárnúmer nhfn
sem ct
heimilt lhensf
er sfg3en
að cn
greiða sng
verðjöfnun nveo
fyrir aa
, ,
þær favfn
hráefnistegundir nvfn
sem ct
heimilt lhensf
er sfg3en
að cn
verðjafna sng
, ,
viðmiðunarverð nhen
innlendra lhfesf
landbúnaðarhráefna nhfe
, ,
erlend lhfnsf
viðmiðunarverð nhfn
sömu fbhfe
hráefna nhfe
og c
nánari lhfnvm
skilyrði nhfn
verðjöfnunar nvee
. .
 
Í aþ
henni fpveþ
skal sfg3en
jafnframt aa
kveðið ssg
á aa
um ao
tilhögun nveo
greiðslu nvee
og c
heimild nven
ráðherra nkee
til ae
að cn
fresta sng
greiðslum nvfþ
sem ct
kunna sfg3fn
að cn
vera sng
umfram ao
fjárveitingar nvfo
Alþingis nhee-s
hverju fsheþ
sinni nheþ
. .
 
Sækja sng
skal sfg3en
um ao
verðjöfnun nveo
til aa
[ [
ráðuneytisins nheeg
] ]
. .
 
1 ta
) )
Tollstjórinn nkengs
í aþ
Reykjavík nveþ-s
annast sfm3en
greiðslu nveo
verðjöfnunar nvee
að aþ
uppfylltum lhfþsf
skilyrðum nhfþ
reglugerðar nvee
skv. aþ
2. ta
mgr. nveþ
] ]
3 ta
) )
1 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
2 ta
) )
Rg nven-s
. .
 
535/2003 ta
, ,
sbr. as
422/2005 ta
. .
 
3 ta
) )
L. nhfe
 
82/2003 ta
, ,
1. ta
gr. nveo
 
[ [
[ [
86. ta
gr. nveo
] ]
1 ta
) )
[ [
Ráðherra nken
] ]
2 ta
) )
getur sfg3en
ákveðið ssg
að c
lagður lkensf
verði svg3en
á aþ
tollur nken
samkvæmt aþ
ákvæðum nhfþ
[ [
138. ta
gr. nveo
] ]
3 ta
) )
tollalaga nhfe
við ao
innflutning nkeo
á aþ
þeim favfþ
vörum nvfþ
sem ct
vísað sþghen
er sfg3en
til aa
í aþ
1. ta
mgr. nveo
5. ta
gr. nveo
samningsins nkeeg
um ao
landbúnað nkeo
í aþ
1. ta
viðauka nkeo
A x
við ao
samninginn nkeog
um ao
stofnun nveo
Alþjóðaviðskiptastofnunar nvee-s
og c
merktar sþgvfn
eru sfg3fn
SSG nhfo-s
í ao
viðauka nkeo
IIA nkee-s
í aþ
tollalögum nhfþ
. .
 
Ráðherra nken
setur sfg3en
reglugerð nveo
þar aa
sem c
m.a. as
skal sfg3en
kveðið sþghen
á aa
um ao
þær favfo
vörur nvfo
sem ct
álagningin nveng
tekur sfg3en
til aa
, ,
viðmiðanir nvfn
um ao
verð nheo
og c
magn nhen
skv. aþ
a- nkfþ
og c
b-liðum nkfþ
1. ta
mgr. nvee
5. ta
gr. nvee
samningsins nkeeg
um ao
landbúnað nkeo
. .
] ]
4 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
3 ta
) )
L. nhfe
 
16/2007 ta
, ,
7. ta
gr. nveo
4 ta
) )
L. nhfe
 
87/1995 ta
, ,
23. ta
gr. nveo
 
[ [
[ [
87. ta
gr. nveo
] ]
1 ta
) )
[ [
Ráðherra nken
] ]
2 ta
) )
skipar sfg3en
þriggja tfkfe
manna nkfe
nefnd nven
sem ct
skal sfg3en
vera sng
til ae
ráðuneytis nhee
um ao
ákvæði nhfo
laga nhfe
þessara fahfe
um ao
inn- nkeo
og c
útflutning nkeo
landbúnaðarvara nkee
. .
 
Einn lkensf
skal sfg3en
skipaður sþgken
án ae
tilnefningar nvee
og c
skal sfg3en
hann fpken
vera sng
formaður nken
nefndarinnar nveeg
, ,
annar foken
skal sfg3en
tilnefndur sþgken
af aa
[ [
ráðherra nken
er ct
fer sfg3en
með ao
tekjuöflun nveo
ríkisins nheeg
] ]
2 ta
) )
og c
sá sfg3eþ
þriðji lkenvf
skal sfg3en
tilnefndur sþgken
af aa
[ [
ráðherra nken
er ct
fer sfg3en
með ao
málefni nhfo
innflutnings nkee
] ]
. .
 
2 ta
) )
Varamenn nkfn-s
skal sfg3en
skipa sng
með aþ
sama fbkeþ
hætti nkeþ
. .
 
[ [
Nefndin nveng
skal sfg3en
gera sng
tillögur nvfo
til ae
ráðherra nkee
um ao
eftirgreind nveo
atriði nhfo
: :
] ]
3 ta
) )
a. fohee
 
Úthlutun nven
tollkvóta nkee
skv. aþ
[ [
65. ta
gr. nveo
og c
65. ta
gr. nveo
 
A. fohee
] ]
1 ta
) )
b. x
… nhen
4 ta
) )
c. x
 
Beitingu nveþ
viðbótartolla nkfe
skv. aþ
[ [
86. ta
gr. nveo
] ]
1 ta
) )
Nefndin nveng
skal sfg3en
afla sng
allra fovfe
upplýsinga nvfe
um ao
verð nheo
á aþ
viðkomandi lvfþof
landbúnaðarvörum nvfþ
innan ae
lands nhee
og c
utan aa
, ,
framleiðslumagn nheo
, ,
innflutning nkeo
og c
útflutning nkeo
og c
annað fohen
sem ct
nauðsynlegt lhensf
er sfg3en
vegna ae
starfa nhfe
hennar fpvee
og c
gera sng
tillögur nvfo
til aa
[ [
ráðherra nkeo
] ]
2 ta
) )
um ao
þau fahfo
verkefni nhfo
sem ct
henni fpveþ
eru sfg3fn
falin sþghfn
með aþ
lögum nhfþ
þessum fahfþ
. .
 
[ [
Öllum fokfþ
þeim fpkfþ
sem ct
búa sfg3fn
yfir aþ
upplýsingum nvfþ
sem ct
að aa
framan aa
greinir sfg3en
ber sfg3en
skylda nven
til ae
að cn
veita sng
nefndinni nveþg
upplýsingar nvfo
sé svg3en
þess fphee
óskað sþghen
. .
] ]
3 ta
) )
[ [
Áður aa
en c
nefndin nveng
gerir sfg3en
tillögur nvfo
skv. aþ
2. ta
mgr. nveþ
skal sfg3en
hún fpven
senda sng
Bændasamtökum nhfþ-s
Íslands nhee-s
, ,
Félagi nheþ-s
atvinnurekenda nkfe
, ,
Samtökum nhfþ-s
verslunar nvee
og c
þjónustu nveþ
og c
Neytendasamtökunum nvfþgs
drög nhfn
að aþ
tillögunum nvfþg
. .
 
Tillögudrögunum nhfþg
skal sfg3en
fylgja sng
stuttur lkensf
rökstuðningur nken
. .
 
Nefndinni nveþg
er sfg3en
heimilt lhensf
að cn
gera sng
tillögurnar nvfog
fjórum tfkfþ
dögum nkfþ
síðar lvfnsf
hafi svg3en
henni fpveþ
ekki aa
borist ssm
yfirlýsingar nvfn
studdar sfg3en
gögnum nhfþ
þar aa
sem c
leitt lheosf
er sfg3en
í ao
ljós nheo
að c
tillögur nvfn
nefndarinnar nveeg
séu svg3fn
byggðar sþgvfn
á aþ
röngum lkeþsf
eða c
misvísandi nkeþ
upplýsingum nvfþ
. .
] ]
3 ta
) )
] ]
5 ta
) )
1 ta
) )
L. nhfe
 
101/2002 ta
, ,
4. ta
gr. nveo
2 ta
) )
L. nhfe
 
126/2011 ta
, ,
182. ta
gr. nveo
3 ta
) )
L. nhfe
 
160/2012 ta
, ,
5. ta
gr. nveo
4 ta
) )
L. nhfe
 
102/2016 ta
, ,
40. ta
gr. nveo
5 ta
) )
L. nhfe
 
87/1995 ta
, ,
24. ta
gr. nveo
 
Ákvæði nhfn
til ae
bráðabirgða nvfe
. .
 
A. fohee
[ [
… nhen
] ]
1 ta
) )
B. nken-s
… nhen
C. nkeo-s
… nkeo
2 ta
) )
D. nhee
– nhen
F. nhee-s
 
