Búnaðarlög búnaðarlag nhfn
. . .

16. 16. ta

ta ta nven

16 16 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

[ [ [

[ [ [

[ [ [

Erfðanefnd erfðanefnd nven

nven nven nkeog

erfðanefnd erfðanefnd nven

landbúnaðarins landbúnaður nkeeg

nkeeg nkeegur lvensf

landbúnaður landbúnaður nken

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Ráðherra ráðherra nken

nken nken nkeog

ráðherra ráðherra nken

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

skipar skipa sfg3en

sfg3en sfg3en nkeog

skipa skip nhfe

sjö sjö tfkfo

tfkfo tfkfo sng

sjö sjö tfkfo

menn maður nkfn

nkfn nkfn nheo

maður maður nken

og og c

c c x

og og c

jafnmarga jafnmargur lkenof

lkenof lkenof nhen

jafnmargur jafnmargur lkensf

til til ae

ae ae sng

til til ae

vara vara sng

sng sng nven

vara vara sng

í í aþ

aþ aþ nhen

í í aþ

erfðanefnd erfðanefnd nven

nven nven nkeog

erfðanefnd erfðanefnd nven

landbúnaðarins landbúnaður nkeeg

nkeeg nkeegur lvensf

landbúnaður landbúnaður nken

að að cn

cn cn e

að að cn

fengnum fengna sfg1fn

sfg1fn sfg1fn nheo

fengna fengna sng

tilnefningum tilnefninga nvfþ

nvfþ nvfþ nhen

tilnefninga tilnefningur nkfo

frá frá aþ

aþ aþ nhen

frá frá aþ

Bændasamtökum bændasamtök nhfþ

nhfþ nhfþ nhen

bændasamtök bændasamtök nhfn

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

, , ,

, , ,

, , ,

[ [ [

[ [ [

[ [ [

Landbúnaðarháskóla landbúnaðarháskóli nkeþ

nkeþ nkeþ nhen

landbúnaðarháskóli landbúnaðarháskólur nkeþ

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

, , ,

, , ,

, , ,

sem sem c

c c x

sem sem c

tilnefnir tilnefna sfg3en

sfg3en sfg3en nkeog

tilnefna tilnefna sng

tvo tveir tfkfo

tfkfo tfkfo sng

tveir tveir tfkfn

menn maður nkfn

nkfn nkfn nheo

maður maður nken

] ] ]

] ] ]

] ] ]

, , ,

, , ,

, , ,

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

[ [ [

[ [ [

[ [ [

Skógræktinni skógrækt nveþg

nveþg nveþgur nkeo

skógrækt skógrækt nven

] ] ]

] ] ]

] ] ]

, , ,

, , ,

, , ,

3 3 ta

ta ta nven

3 3 ta

) ) )

) ) )

) ) )

[ [ [

[ [ [

[ [ [

Hafrannsóknastofnun hafrannsóknastofnun nveo-s

nveo-s nveo-s nhee

hafrannsóknastofnun hafrannsóknastofnun nven

] ] ]

] ] ]

] ] ]

4 4 ta

ta ta nven

4 4 ta

) ) )

) ) )

) ) )

og og c

c c x

og og c

Náttúrufræðistofnun náttúrufræðistofnun nven

nven nven nkeog

náttúrufræðistofnun náttúrufræðistofnun nven

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

. . .

. . .

. . .

Ráðherra ráðherra nken

nken nken nkeog

ráðherra ráðherra nken

skipar skipa sfg3en

sfg3en sfg3en nkeog

skipa skip nhfe

formann formaður nkeo

nkeo nkeo sng

formaður formaður nken

nefndarinnar nefnd nveeg

nveeg nveegur lvensf

nefnd nefnd nveþ

án án ae

ae ae sng

án án ae

tilnefningar tilnefning nvfn

nvfn nvfn nheo

tilnefning tilnefning nven

. . .

. . .

. . .

Nefndin nefnd nveng

nveng nvengur lvensf

nefnd nefnd nveþ

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

skipuð skipa sþgven

sþgven sþgven nkeog

skipa skip nhfe

til til ae

ae ae sng

til til ae

þriggja þrír tfhfe

tfhfe tfhfe sng

þrír þrír tfkfn

ára ár nhfe

nhfe nhfe sng

ár ár nhfn

í í aþ

aþ aþ nhen

í í aþ

senn senn aa

aa aur nkfo

senn senn aa

. . .

. . .

. . .

Helstu heldri lhfnve

lhfnve lhfnve sng

heldri heldri lkfnvm

verkefni verkefni nhfn

nhfn nhfn nheo

verkefni verkefni nhfn

nefndarinnar nefnd nveeg

nveeg nveegur lvensf

nefnd nefnd nveþ

eru vera sfg3fn

sfg3fn sfg3fn nheo

vera vera sng

: : :

: : :

: : :

a. annar fohee

fohee fohee sng

annar annar foken

að að cn

cn cn e

að að cn

annast anna snm

snm snm nhfþ

anna önn nvfe

samráð samráð nhen

nhen nhen nkeog

samráð samráð nhen

innan innan aa

aa aur nkfo

innan innan aa

lands land nhee

nhee nhee sng

land land nhen

um um ao

ao ao sng

um um ao

varðveislu varðveisla nveþ

nveþ nveþ nhen

varðveisla varðveisla nven

erfðaauðlinda erfðaauðlind nvfe

nvfe nvfe sng

erfðaauðlind erfðaauðlind nven

í í aþ

aþ aþ nhen

í í aþ

landbúnaði landbúnaður nkeþ

nkeþ nkeþ nhen

landbúnaður landbúnaður nken

, , ,

, , ,

, , ,

b. bil nheo

nheo nheo sng

bil bil nhen

að að cn

cn cn e

að að cn

hvetja hvetja sng

sng sng nven

hvetja hvetja sng

til til ae

ae ae sng

til til ae

rannsókna rannsókn nvfe

nvfe nvfe sng

rannsókn rannsókn nven

á á aþ

aþ aþ nhen

á á aþ

sviði sviði nken

nken nken nkeog

sviði sviði nken

erfðaauðlinda erfðaauðlind nvfe

nvfe nvfe sng

erfðaauðlind erfðaauðlind nven

í í aþ

aþ aþ nhen

í í aþ

landbúnaði landbúnaður nkeþ

nkeþ nkeþ nhen

landbúnaður landbúnaður nken

, , ,

, , ,

, , ,

c. c. x

x x nhen

c. c. x

að að cn

cn cn e

að að cn

stuðla stuðla sng

sng sng nven

stuðla stuðla sng

að að cn

cn cn e

að að cn

miðlun miðlun nven

nven nven nkeog

miðlun miðlun nven

þekkingar þekking nvee

nvee nvee sng

þekking þekking nven

um um ao

ao ao sng

um um ao

erfðaauðlindir erfðaauðlind nvfn

nvfn nvfn nheo

erfðaauðlind erfðaauðlind nven

og og c

c c x

og og c

gildi gildi nheo

nheo nheo sng

gildi gildi nheo

þeirra hann fpkfe

fpkfe fpkfe sng

hann hann fpken

, , ,

, , ,

, , ,

jafnt jafnt aa

aa aur nkfo

jafnt jafnt aa

með með aþ

aþ aþ nhen

með með aþ

kennslu kennsla nveo

nveo nveo sng

kennsla kennsla nven

sem sem c

c c x

sem sem c

upplýsingagjöf upplýsingagjöf nven

nven nven nkeog

upplýsingagjöf upplýsingagjöf nven

til til ae

ae ae sng

til til ae

almennings almenningur nkee

nkee nkee sng

almenningur almenningur nken

, , ,

, , ,

, , ,

d. dæmi nhee

nhee nhee sng

dæmi dæmi nhen

að að cn

cn cn e

að að cn

veita veita sng

sng sng nven

veita veita sng

hagsmunaaðilum hagsmunaaðili nkfþ

nkfþ nkfþ nhen

hagsmunaaðili hagsmunaaðili nken

og og c

c c x

og og c

stjórnvöldum stjórnvald nhfþ

nhfþ nhfþ nhen

stjórnvald stjórnvald nhen

ráðgjöf ráðgjöf nven

nven nven nkeog

ráðgjöf ráðgjöf nven

um um ao

ao ao sng

um um ao

varðveislu varðveisla nveþ

nveþ nveþ nhen

varðveisla varðveisla nven

og og c

c c x

og og c

nýtingu nýting nveþ

nveþ nveþ nhen

nýting nýting nven

erfðaauðlinda erfðaauðlind nvfe

nvfe nvfe sng

erfðaauðlind erfðaauðlind nven

í í aþ

aþ aþ nhen

í í aþ

landbúnaði landbúnaður nkeþ

nkeþ nkeþ nhen

landbúnaður landbúnaður nken

, , ,

, , ,

, , ,

e. vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

að að cn

cn cn e

að að cn

annast anna snm

snm snm nhfþ

anna önn nvfe

samskipti samskipti nhfn

nhfn nhfn nheo

samskipti samskipti nhfn

við við ao

ao ao sng

við við ao

erlenda erlendur lhenvf

lhenvf lhenvf sfg3eþ

erlendur erlendur lkensf

aðila aðili nkfe

nkfe nkfe sng

aðili aðili nken

á á aþ

aþ aþ nhen

á á aþ

þessu þessi faheþ

faheþ faheþ nhen

þessi þessi faven

sviði sviði nken

nken nken nkeog

sviði sviði nken

í í aþ

aþ aþ nhen

í í aþ

samstarfi samstarf nheþ

nheþ nheþ nhen

samstarf samstarf nhen

við við ao

ao ao sng

við við ao

tengiliði tengilið nheþ

nheþ nheþ nhen

tengilið tengili nheng

Íslands ísland nhee-s

nhee-s nhee-s nhee

ísland ísland nhen

hjá hjá aþ

aþ aþ nhen

hjá hjá aþ

alþjóðastofnunum alþjóðastofnun nvfþ

nvfþ nvfþ nhen

alþjóðastofnun alþjóðastofnun nven

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Ráðherra ráðherra nken

nken nken nkeog

ráðherra ráðherra nken

] ] ]

] ] ]

] ] ]

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

setur setja sfg3en

sfg3en sfg3en nkeog

setja setja sng

reglugerð reglugerð nven

nven nven nkeog

reglugerð reglugerð nven

þar þar aa

aa aur nkfo

þar þar aa

sem sem c

c c x

sem sem c

nánar náið aam

aam aam nhfþ

náið náinn lhensf

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

kveðið kveða ssg

ssg ssgur nkeo

kveða kveða sng

á á aþ

aþ aþ nhen

á á aþ

um um ao

ao ao sng

um um ao

verkefni verkefni nhfn

nhfn nhfn nheo

verkefni verkefni nhfn

nefndarinnar nefnd nveeg

nveeg nveegur lvensf

nefnd nefnd nveþ

og og c

c c x

og og c

nauðsynlegar nauðsynlegur lvfnsf

lvfnsf lvfnsf sfg3eþ

nauðsynlegur nauðsynlegur lkensf

ráðstafanir ráðstöfun nvfn

nvfn nvfn nheo

ráðstöfun ráðstöfun nven

til til ae

ae ae sng

til til ae

framkvæmdar framkvæmd nvee

nvee nvee sng

framkvæmd framkvæmd nven

á á aþ

aþ aþ nhen

á á aþ

ákvæðum ákvæði nhfþ

nhfþ nhfþ nhen

ákvæði ákvæði nhfn

þessarar þessi favee

favee favee sng

þessi þessi faven

greinar grein nvfn

nvfn nvfn nheo

grein grein nven

. . .

. . .

. . .

] ] ]

] ] ]

] ] ]

5 5 ta

ta ta nven

5 5 ta

) ) )

) ) )

) ) )

1 1 ta

ta ta nven

1 1 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

126/2011 126 ta

ta ta nven

126 126 ta

, , ,

, , ,

, , ,

273. 273. ta

ta ta nven

273 273 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

2 2 ta

ta ta nven

2 2 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

79/2004 79 ta

ta ta nven

79 79 ta

, , ,

, , ,

, , ,

5. 5. ta

ta ta nven

5 5 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

3 3 ta

ta ta nven

3 3 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

60/2016 60 ta

ta ta nven

60 60 ta

, , ,

, , ,

, , ,

13. 13. ta

ta ta nven

13 13 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

4 4 ta

ta ta nven

4 4 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

113/2015 113 ta

ta ta nven

113 113 ta

, , ,

, , ,

, , ,

3. 3. ta

ta ta nven

3 3 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

5 5 ta

ta ta nven

5 5 ta

) ) )

) ) )

) ) )

L. l. nken-s

nken-s nken-s nhee

l. lag nhfe

53/2003 53 ta

ta ta nven

53 53 ta

, , ,

, , ,

, , ,

1. 1. ta

ta ta nven

1 1 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

IV iv ta

ta ta nven

iv iv nhen

. . .

. . .

. . .

kafli kafli nken

nken nken nkeog

kafli kafli nken

. . .

. . .

. . .

Um um ao

ao ao sng

um um ao

leiðbeiningarstarfsemi leiðbeiningarstarfsemi nven

nven nven nkeog

leiðbeiningarstarfsemi leiðbeiningarstarfsemi nven

. . .

. . .

. . .

17. 17. ta

ta ta nven

17 17 ta

. . .

gr. grein nven

nven nven nkeog

grein grein nven

Markmið markmið nhen

nhen nhen nkeog

markmið markmið nhen

. . .

. . .

. . .

Markmið markmið nhen

nhen nhen nkeog

markmið markmið nhen

leiðbeiningarþjónustu leiðbeiningarþjónustur lkfnve

lkfnve lkfnve sng

leiðbeiningarþjónustur leiðbeiningarþjónusta nvfn

samkvæmt samkvæmt aþ

aþ aþ nhen

samkvæmt samkvæmt aþ

lögum lag nhfþ

nhfþ nhfþ nhen

lag lag nhen

þessum þessi fakeþ

fakeþ fakeþ nhen

þessi þessi faven

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

að að cn

cn cn e

að að cn

miðla miðla sng

sng sng nven

miðla miðla sng

upplýsingum upplýsing nvfþ

nvfþ nvfþ nhen

upplýsing upplýsing nven

til til ae

ae ae sng

til til ae

bænda bóndi nkfe

nkfe nkfe sng

bóndi bóndi nken

og og c

c c x

og og c

stuðla stuðla sng

sng sng nven

stuðla stuðla sng

með með aþ

aþ aþ nhen

með með aþ

því það fpheþ

fpheþ fpheþ nhen

það það fphen

að að cn

cn cn e

að að cn

bættum bættur lkeþsf

lkeþsf lkeþsf sfg3eþ

bættur bæta sþgken

búskaparháttum búskaparháttur nkfþ

nkfþ nkfþ nhen

búskaparháttur búskaparháttur nken

og og c

c c x

og og c

framförum framför nvfþ

nvfþ nvfþ nhen

framför framfar nhfn

í í aþ

aþ aþ nhen

í í aþ

búskap búskapur nkeo

nkeo nkeo sng

búskapur búskapur nken

, , ,

, , ,

, , ,

til til ae

ae ae sng

til til ae

hagsbóta hagsbót nvfe

nvfe nvfe sng

hagsbót hagsbót nven

og og c

c c x

og og c

bættra bættri lhenvm

lhenvm lhenvm nhfþ

bættri bættur lkenvm

lífskjara lífskjör nhfe

nhfe nhfe sng

lífskjör lífskjör nhfn

fyrir fyrir ao

ao ao sng

fyrir fyrir ao

bændur bóndi nkfn

nkfn nkfn nheo

bóndi bóndi nken

og og c

c c x

og og c

neytendur neytendur nken

nken nken nkeog

neytendur neytendur nken

búvara búvara nven

nven nven nkeog

búvara búvara nven

. . .

. . .

. . .

Hún hún fpven

fpven fpven nkeog

hún hún fpven

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

á á aþ

aþ aþ nhen

á á aþ

hverjum hver fokeþ

fokeþ fokeþ nhen

hver hver fsken

tíma tími nkeþ

nkeþ nkeþ nhen

tími tími nken

afla afla sng

sng sng nven

afla afla sng

og og c

c c x

og og c

miðla miðla sng

sng sng nven

miðla miðla sng

bestu góður lkfnve

lkfnve lkfnve sng

góður góður lkensf

þekkingu þekking nveo

nveo nveo sng

þekking þekking nven

og og c

c c x

og og c

reynslu reynsla nveo

nveo nveo sng

reynsla reynsla nven

um um ao

ao ao sng

um um ao

alla allur foveo

foveo foveo sng

allur allur foken

þætti þykja svg3eþ

svg3eþ svg3eþ nhen

þykja þykja sng

búrekstrar búrekstri nkfn

nkfn nkfn nheo

búrekstri búrekstur nkeþ

sem sem c

c c x

sem sem c

bændur bóndi nkfn

nkfn nkfn nheo

bóndi bóndi nken

leggja leggja sng

sng sng nven

leggja leggja sng

stund stund nven

nven nven nkeog

stund stund nven

á á aþ

aþ aþ nhen

á á aþ

, , ,

, , ,

, , ,

eftir eftir aþ

aþ aþ nhen

eftir eftir aþ

því það fpheþ

fpheþ fpheþ nhen

það það fphen

sem sem c

c c x

sem sem c

við við ao

ao ao sng

við við ao

verður verða sfg3en

sfg3en sfg3en nkeog

verða verða sng

komið koma ssg

ssg ssgur nkeo

koma koma sng

. . .

. . .

. . .

Hlutverk hlutverk nhen

nhen nhen nkeog

hlutverk hlutverk nhen

leiðbeiningarþjónustunnar leiðbeiningarþjónusta nveeg

nveeg nveegur lvensf

leiðbeiningarþjónusta leiðbeiningarþjónusta nven

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

að að cn

cn cn e

að að cn

: : :

: : :

: : :

1. 1. ta

ta ta nven

1 1 ta

. . .

miðla miðla sng

sng sng nven

miðla miðla sng

líffræðilegri líffræðilegur lkenvm

lkenvm lkenvm nhfþ

líffræðilegur líffræðilegur lkensf

, , ,

, , ,

, , ,

tæknilegri tæknilegur lkenvm

lkenvm lkenvm nhfþ

tæknilegur tæknilegur lkensf

og og c

c c x

og og c

hagfræðilegri hagfræðilegur lkenvm

lkenvm lkenvm nhfþ

hagfræðilegur hagfræðilegur lkensf

þekkingu þekking nveo

nveo nveo sng

þekking þekking nven

til til ae

ae ae sng

til til ae

allra allur fokfe

fokfe fokfe sng

allur allur foken

búgreina búgreina nven

nven nven nkeog

búgreina búgreina nven

, , ,

, , ,

, , ,

2. 2. ta

ta ta nven

2 2 ta

. . .

þróa þróa sng

sng sng nven

þróa þróa sng

hagfræðileg hagfræðilegur lvensf

lvensf lvensf sfg3eþ

hagfræðilegur hagfræðilegur lkensf

og og c

c c x

og og c

búfræðileg búfræðilegur lvensf

lvensf lvensf sfg3eþ

búfræðilegur búfræðilegur lkensf

hjálpartæki hjálpartæki nhfn

nhfn nhfn nheo

hjálpartæki hjálpartæki nhfn

fyrir fyrir ao

ao ao sng

fyrir fyrir ao

leiðbeiningarstarfsemi leiðbeiningarstarfsemi nven

nven nven nkeog

leiðbeiningarstarfsemi leiðbeiningarstarfsemi nven

og og c

c c x

og og c

fyrir fyrir ao

ao ao sng

fyrir fyrir ao

einstaka einstaka lkfnof

lkfnof lkfnof nhen

einstaka einstaka lkfnof

bændur bóndi nkfn

nkfn nkfn nheo

bóndi bóndi nken

, , ,

, , ,

, , ,

svo svo aa

aa aur nkfo

svo svo aa

sem sem c

c c x

sem sem c

með með aþ

aþ aþ nhen

með með aþ

gerð gerð nven

nven nven nkeog

gerð gerð nven

hentugra hentugri lhenvm

lhenvm lhenvm nhfþ

hentugri hentugur lvfnvm

tölvuforrita tölvuforrit nhfe

nhfe nhfe sng

tölvuforrit tölvuforrit nhfn

, , ,

, , ,

, , ,

3. 3. ta

ta ta nven

3 3 ta

. . .

kynna kynni nhfe

nhfe nhfe sng

kynni kunna svg3eþ

fyrir fyrir ao

ao ao sng

fyrir fyrir ao

þeim það fphfþ

fphfþ fphfþ nhen

það það fphen

sem sem c

c c x

sem sem c

starfa starf nhfe

nhfe nhfe sng

starf starf nhen

að að cn

cn cn e

að að cn

landbúnaði landbúnaður nkeþ

nkeþ nkeþ nhen

landbúnaður landbúnaður nken

stefnumörkun stefnumörkun nven

nven nven nkeog

stefnumörkun stefnumörkun nven

stjórnvalda stjórnvald nhfe

nhfe nhfe sng

stjórnvald stjórnvald nhen

í í aþ

aþ aþ nhen

í í aþ

málefnum málefni nhfþ

nhfþ nhfþ nhen

málefni málefni nhfn

landbúnaðarins landbúnaður nkeeg

nkeeg nkeegur lvensf

landbúnaður landbúnaður nken

og og c

c c x

og og c

á á aþ

aþ aþ nhen

á á aþ

öðrum annar fokfþ

fokfþ fokfþ nhen

annar annar foken

sviðum svið nhfþ

nhfþ nhfþ nhen

svið svið nhen

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

hann hann fpken

fpken fpken nkeog

hann hann fpken

snerta snerta sng

sng sng nven

snerta snerta sng

, , ,

, , ,

, , ,

svo svo aa

aa aur nkfo

svo svo aa

sem sem c

c c x

sem sem c

í í aþ

aþ aþ nhen

í í aþ

landverndar- landverndarbúð nvfn

nvfn nvfn nheo

landverndarbúð landverndarbúð nven

og og c

c c x

og og c

umhverfismálum umhverfismálur lkfþsf

lkfþsf lkfþsf sfg3eþ

umhverfismálur umhverfismála nvfo

, , ,

, , ,

, , ,

4. 4. ta

ta ta nven

4 4 ta

. . .

vera vera sng

sng sng nven

vera vera sng

stjórnvöldum stjórnvald nhfþ

nhfþ nhfþ nhen

stjórnvald stjórnvald nhen

til til ae

ae ae sng

til til ae

aðstoðar aðstoð nvee

nvee nvee sng

aðstoð aðstoð nven

við við ao

ao ao sng

við við ao

framkvæmd framkvæmd nven

nven nven nkeog

framkvæmd framkvæmd nven

löggjafar löggjafi nkfn

nkfn nkfn nheo

löggjafi löggjafur nkeþ

eftir eftir aþ

aþ aþ nhen

eftir eftir aþ

því það fpheþ

fpheþ fpheþ nhen

það það fphen

sem sem c

c c x

sem sem c

við við ao

ao ao sng

við við ao

getur geta sfg3en

sfg3en sfg3en nkeog

geta geta sfg3fn

átt eiga ssg

ssg ssgur nkeo

eiga eiga sng

og og c

c c x

og og c

um um ao

ao ao sng

um um ao

semst sema sfm3eþ

sfm3eþ sfm3eþ nhen

sema sema sng

milli milli ae

ae ae sng

milli milli ae

aðila aðili nkfe

nkfe nkfe sng

aðili aðili nken

, , ,

, , ,

, , ,

5. 5. ta

ta ta nven

5 5 ta

. . .

stuðla stuðla sng

sng sng nven

stuðla stuðla sng

bæði bæði c

c c x

bæði bæði c

faglega faglegur lveosf

lveosf lveosf sfg3eþ

faglegur faglegur lkensf

og og c

c c x

og og c

félagslega félagslega aa

aa aur nkfo

félagslega félagslega aa

að að cn

cn cn e

að að cn

þróun þróun nven

nven nven nkeog

þróun þróun nven

nýrra nýr lhfesf

lhfesf lhfesf sfg3eþ

nýr nýr lkensf

búgreina búgreina nven

nven nven nkeog

búgreina búgreina nven

og og c

c c x

og og c

fylgjast fylgja snm

snm snm nhfþ

fylgja fylgja sng

með með aþ

aþ aþ nhen

með með aþ

árangri árangur nkeþ

nkeþ nkeþ nhen

árangur árangur nken

frumherja frumherji nkeo

nkeo nkeo sng

frumherji frumherji nkeþ

á á aþ

aþ aþ nhen

á á aþ

því það fpheþ

fpheþ fpheþ nhen

það það fphen

sviði sviði nken

nken nken nkeog

sviði sviði nken

, , ,

, , ,

, , ,

6. 6. ta

ta ta nven

6 6 ta

. . .

stuðla stuðla sng

sng sng nven

stuðla stuðla sng

að að cn

cn cn e

að að cn

sjálfbærri sjálfbærur lkenvm

lkenvm lkenvm nhfþ

sjálfbærur sjálfbæra nvfn

þróun þróun nven

nven nven nkeog

þróun þróun nven

við við ao

ao ao sng

við við ao

nýtingu nýting nveþ

nveþ nveþ nhen

nýting nýting nven

auðlinda auðlind nvfe

nvfe nvfe sng

auðlind auðlind nven

, , ,

, , ,

, , ,

7. 7. ta

ta ta nven

7 7 ta

. . .

vinna vinna sng

sng sng nven

vinna vinna sng

að að cn

cn cn e

að að cn

eflingu efling nveo

nveo nveo sng

efling efling nven

búrekstrar búrekstri nkfn

nkfn nkfn nheo

búrekstri búrekstur nkeþ

í í aþ

aþ aþ nhen

í í aþ

sveitum sveit nvfþ

nvfþ nvfþ nhen

sveit sveit nven

. . .

. . .

. . .

Leiðbeiningarþjónustan leiðbeiningarþjónusta nveng

nveng nvengur lvensf

leiðbeiningarþjónusta leiðbeiningarþjónusta nven

skal skulu sfg3en

sfg3en sfg3en nkeog

skulu skulu sfg3fn

stuðla stuðla sng

sng sng nven

stuðla stuðla sng

að að cn

cn cn e

að að cn

því það fpheþ

fpheþ fpheþ nhen

það það fphen

, , ,

, , ,

, , ,

eftir eftir aþ

aþ aþ nhen

eftir eftir aþ

því það fpheþ

fpheþ fpheþ nhen

það það fphen

sem sem c

c c x

sem sem c

hún hún fpven

fpven fpven nkeog

hún hún fpven

hefur hafa sfg3en

sfg3en sfg3en nkeog

hafa hafa sfg3fn

tök tak nhfn

nhfn nhfn nheo

tak tak nhen

á á aþ

aþ aþ nhen

á á aþ

, , ,

, , ,

, , ,

að að cn

cn cn e

að að cn

búskapur búskapur nken

nken nken nkeog

búskapur búskapur nken

þróist þróa sfm3en

sfm3en sfm3en nkeog

þróa þróa sng

í í aþ

aþ aþ nhen

í í aþ

samræmi samræmi nhen

nhen nhen nkeog

samræmi samræmi nhen

við við ao

ao ao sng

við við ao

þá þá aa

aa aur nkfo

þá þá aa

stefnu stefna nveo

nveo nveo sng

stefna stefna nven

sem sem c

c c x

sem sem c

mörkuð marka sþgven

sþgven sþgven nkeog

marka marka sng

er vera sfg3en

sfg3en sfg3en nkeog

vera vera sng

með með aþ

aþ aþ nhen

með með aþ

samningum samningur nkfþ

nkfþ nkfþ nhen

samningur samningur nken

samtaka samtök nhfe

nhfe nhfe sng

samtök samtök nhfn

bænda bóndi nkfe

nkfe nkfe sng

bóndi bóndi nken

við við ao

ao ao sng

við við ao

ríkisvaldið ríkisvald nheng

nheng nhengur lvensf

ríkisvald ríkisvald nhen

. . .

. . .

. . .

[ [ [

[ [ [

[ [ [

Allir allur fokfn

fokfn fokfn nheo

allur allur foken

bændur bóndi nkfn

nkfn nkfn nheo

bóndi bóndi nken

eiga eiga sng

sng sng nven

eiga eiga sng

rétt rétt aa

aa aur nkfo

rétt rétt aa

á á aþ

aþ aþ nhen

á á aþ

leiðbeiningarþjónustu leiðbeiningarþjónustur lkfnve

lkfnve lkfnve sng

leiðbeiningarþjónustur leiðbeiningarþjónusta nvfn

samkvæmt samkvæmt aþ

aþ aþ nhen

